Applicant Name,Funding Band,Amount,Year,Period,Type
Newhampton Arts Centre,1,0,2015,2015-2018,Fund
Newlyn Art Gallery Ltd,2,361761,2015,2015-2018,Fund
Nine Arches Press,1,0,2015,2015-2018,Fund
NMC Recordings Ltd.,1,40000,2015,2015-2018,Fund
NN Contemporary Art,1,0,2015,2015-2018,Fund
no.w.here arts limited,1,55419,2015,2015-2018,Fund
NoFit State Community Circus Ltd,1,201159,2015,2015-2018,Fund
Norfolk and Norwich Festival Trust,SSO,500000,2015,2015-2018,Fund
Norfolk and Norwich Festival Trust,2,814527,2015,2015-2018,Fund
Norfolk Museums Service,SSO,436282,2015,2015-2018,Fund
Norfolk Museums Service,3,1203170,2015,2015-2018,Fund
North East Theatre Trust Ltd,2,626723,2015,2015-2018,Fund
North Kesteven District Council,1,201159,2015,2015-2018,Fund
North Lincolnshire Council 20-21 Visual Arts Centre,1,74744,2015,2015-2018,Fund
North Music Trust,3,3512122,2015,2015-2018,Fund
Northampton Theatres Trust,2,766416,2015,2015-2018,Fund
Northern Ballet Limited,3,3112000,2015,2015-2018,Fund
Northern Broadsides Theatre Company,2,255287,2015,2015-2018,Fund
Northern Print,1,106647,2015,2015-2018,Fund
Northern School of Contemporary Dance,1,0,2015,2015-2018,Fund
Northern Stage (Theatrical Productions) Ltd,3,1562496,2015,2015-2018,Fund
Norwich Arts Centre,1,182071,2015,2015-2018,Fund
Nottingham City Museums and Galleries,2,0,2015,2015-2018,Fund
Nottingham Contemporary,3,1005795,2015,2015-2018,Fund
Nottingham Media Centre Ltd,1,100579,2015,2015-2018,Fund
Nottingham Playhouse,3,1354807,2015,2015-2018,Fund
November Club,1,100678,2015,2015-2018,Fund
NTS Live,1,0,2015,2015-2018,Fund
Nutkhut,1,100924,2015,2015-2018,Fund
Ockham's Razor,1,181044,2015,2015-2018,Fund
Octopus Collective Ltd.,1,40231,2015,2015-2018,Fund
Oily Cart,2,286576,2015,2015-2018,Fund
Oldham Coliseum Theatre,2,604066,2015,2015-2018,Fund
One Dance UK,SSO,0,2015,2015-2018,Fund
Open Clasp Theatre Company,1,100000,2015,2015-2018,Fund
Open Eye gallery,1,192301,2015,2015-2018,Fund
Open School East,1,0,2015,2015-2018,Fund
Open Theatre Company,1,0,2015,2015-2018,Fund
OpenUp Music,1,0,2015,2015-2018,Fund
Opera North Limited,3,10386000,2015,2015-2018,Fund
Orchestra of the Age of Enlightenment,1,203904,2015,2015-2018,Fund
Orchestras Live,2,479134,2015,2015-2018,Fund
OTO Projects CIC,1,74933,2015,2015-2018,Fund
Otolith Collective Ltd,1,50290,2015,2015-2018,Fund
Out of Joint,2,426352,2015,2015-2018,Fund
Outside In,1,0,2015,2015-2018,Fund
Oxford Contemporary Music,1,185783,2015,2015-2018,Fund
Oxford Playhouse Trust,2,379474,2015,2015-2018,Fund
Pagoda Arts,1,44864,2015,2015-2018,Fund
Paines Plough,2,315620,2015,2015-2018,Fund
Palace Theatre Watford Limited,2,790570,2015,2015-2018,Fund
Pallant House Gallery,1,89119,2015,2015-2018,Fund
Paraiso School of Samba,1,60348,2015,2015-2018,Fund
Paraorchestra and Friends,1,0,2015,2015-2018,Fund
Pavilion Dance South West Ltd,2,386216,2015,2015-2018,Fund
Peckham Platform Ltd,1,50000,2015,2015-2018,Fund
Peepal Tree Press,1,112032,2015,2015-2018,Fund
Peer UK,1,52090,2015,2015-2018,Fund
Pegasus Theatre Trust,2,299973,2015,2015-2018,Fund
Penned in the Margins,1,45000,2015,2015-2018,Fund
Pentabus Arts Ltd,1,187331,2015,2015-2018,Fund
People Express,1,54312,2015,2015-2018,Fund
People United,1,81452,2015,2015-2018,Fund
People's History Museum,2,0,2015,2015-2018,Fund
People's Palace Projects,1,132145,2015,2015-2018,Fund
Perfect Pitch Musicals Ltd,1,107092,2015,2015-2018,Fund
Performances Birmingham Limited,1,80463,2015,2015-2018,Fund
Peshkar,1,75794,2015,2015-2018,Fund
Philharmonia Limited,3,2042222,2015,2015-2018,Fund
Phoenix Dance Theatre,2,428510,2015,2015-2018,Fund
Photofusion,1,0,2015,2015-2018,Fund
Photoworks,2,268315,2015,2015-2018,Fund
Pilot Theatre Ltd,2,329720,2015,2015-2018,Fund
Pioneer Theatres Ltd t/a Theatre Royal Stratford East,3,1105506,2015,2015-2018,Fund
Plymouth Culture,SSO,0,2015,2015-2018,Fund
Plymouth Music Zone Ltd,1,0,2015,2015-2018,Fund
Pocklington Arts Centre,1,0,2015,2015-2018,Fund
PoemsOnTheUnderground,1,52705,2015,2015-2018,Fund
Poet in the City,1,67079,2015,2015-2018,Fund
Poetry London,1,47913,2015,2015-2018,Fund
Poetry Translation Centre Ltd,1,124575,2015,2015-2018,Fund
Polish Expats Association cic,1,0,2015,2015-2018,Fund
Polka Theatre,2,570219,2015,2015-2018,Fund
Poole Arts Trust Ltd,2,342213,2015,2015-2018,Fund
Pop Up Projects CIC,1,85203,2015,2015-2018,Fund
PopUp Initiative CIC (The NewBridge Project),1,0,2015,2015-2018,Fund
Portsmouth New Theatre Royal,1,92951,2015,2015-2018,Fund
Prema Arts Centre,1,69258,2015,2015-2018,Fund
Preston City Council,1,0,2015,2015-2018,Fund
Primary,1,0,2015,2015-2018,Fund
Prime Theatre,1,87937,2015,2015-2018,Fund
Prism Arts,1,50613,2015,2015-2018,Fund
Project Art Works,1,93000,2015,2015-2018,Fund
Project Phakama UK,1,83101,2015,2015-2018,Fund
Project Space Leeds,2,0,2015,2015-2018,Fund
Protein Dance Ltd,1,203762,2015,2015-2018,Fund
Proteus Theatre Company,1,0,2015,2015-2018,Fund
Psappha Limited,1,82000,2015,2015-2018,Fund
PUNCH RECORDS,2,251449,2015,2015-2018,Fund
Punchdrunk,1,226304,2015,2015-2018,Fund
Quarantine,1,160927,2015,2015-2018,Fund
Queen's Hall Arts,1,118147,2015,2015-2018,Fund
Rambert,3,2237000,2015,2015-2018,Fund
Raw Material Music and Media Education,1,117234,2015,2015-2018,Fund
Re:Bourne,3,1294000,2015,2015-2018,Fund
Readipop,1,0,2015,2015-2018,Fund
Real Ideas Organisation CIC,SSO,875680,2015,2015-2018,Fund
Real Ideas Organisation CIC,1,0,2015,2015-2018,Fund
Red Earth Theatre Limited,1,100579,2015,2015-2018,Fund
Red Ladder Theatre Company,1,0,2015,2015-2018,Fund
Redbridge Drama Centre,1,65000,2015,2015-2018,Fund
Redeye (North West Photography Network) Ltd,SSO,87921,2015,2015-2018,Fund
Resonance,1,160277,2015,2015-2018,Fund
Rich Mix Cultural Foundation,2,301738,2015,2015-2018,Fund
Rifco Arts,2,295404,2015,2015-2018,Fund
Ripon Museum Trust,1,0,2015,2015-2018,Fund
RJC Dance,1,75224,2015,2015-2018,Fund
Rosehill Arts Trust,1,62287,2015,2015-2018,Fund
Roses Theatre Trust,1,85493,2015,2015-2018,Fund
Rosetta Art Centre,1,0,2015,2015-2018,Fund
Rosie Kay Dance Company,1,0,2015,2015-2018,Fund
Rotherham Open Arts Renaissance (ROAR),1,67079,2015,2015-2018,Fund
Royal Court Liverpool Trust,1,0,2015,2015-2018,Fund
Royal Exchange Theatre Company Ltd,3,2332000,2015,2015-2018,Fund
Royal Liverpool Philharmonic,3,2231646,2015,2015-2018,Fund
Royal Opera House,3,24772000,2015,2015-2018,Fund
Royal Opera House,SSO,726841,2015,2015-2018,Fund
Royal Philharmonic Orchestra Ltd,2,946394,2015,2015-2018,Fund
Royal Shakespeare Company,3,15447000,2015,2015-2018,Fund
RTYDS Ltd,SSO,0,2015,2015-2018,Fund
Rural Arts North Yorkshire,1,75508,2015,2015-2018,Fund
Rural Media Charity,1,0,2015,2015-2018,Fund
Russell Maliphant Company,1,0,2015,2015-2018,Fund
Sadler's Wells,3,2456153,2015,2015-2018,Fund
Salisbury Arts Theatre Ltd,3,844289,2015,2015-2018,Fund
Sampad (South Asian Arts Development),1,243905,2015,2015-2018,Fund
Scarborough Theatre Trust Ltd,2,637714,2015,2015-2018,Fund
Serendipity,1,0,2015,2015-2018,Fund
Serious Events Limited,2,452778,2015,2015-2018,Fund
Serpentine Galleries,3,1193725,2015,2015-2018,Fund
"Seven Stories, The National Centre for Children's Books",2,452608,2015,2015-2018,Fund
Shademakers UK Carnival Club,1,50290,2015,2015-2018,Fund
Shakespeare Birthplace Trust,1,0,2015,2015-2018,Fund
Shape London,2,286551,2015,2015-2018,Fund
Sheffield Doc/Fest,1,0,2015,2015-2018,Fund
Sheffield Galleries & Museums Trust,2,600000,2015,2015-2018,Fund
Sheffield Theatres Trust Ltd,3,1279865,2015,2015-2018,Fund
Shobana Jeyasingh Dance Company,2,258732,2015,2015-2018,Fund
Shubbak: A Window on Contemporary Arab Culture,1,0,2015,2015-2018,Fund
SICK! Productions,1,0,2015,2015-2018,Fund
Sinfonietta Productions Limited,2,499565,2015,2015-2018,Fund
Siobhan Davies Dance,2,582018,2015,2015-2018,Fund
Site Gallery,2,194106,2015,2015-2018,Fund
Slung Low Limited,1,99671,2015,2015-2018,Fund
Small Green Shoots,1,85323,2015,2015-2018,Fund
Snape Maltings,3,1403018,2015,2015-2018,Fund
Society Of Chief Librarians,SSO,0,2015,2015-2018,Fund
Soft Touch Arts Ltd,1,88510,2015,2015-2018,Fund
Soho Theatre Company,2,603478,2015,2015-2018,Fund
Somerset Art Works,1,0,2015,2015-2018,Fund
Somerset Film and Video Ltd,1,87453,2015,2015-2018,Fund
Sonia Sabri Company,1,125034,2015,2015-2018,Fund
Sound UK Arts,1,100580,2015,2015-2018,Fund
SoundCity,1,0,2015,2015-2018,Fund
South Asian Arts-uk,1,113766,2015,2015-2018,Fund
South East Dance Ltd,2,570169,2015,2015-2018,Fund
South East Museum Development Programme,SSO,511612,2015,2015-2018,Fund
South London Gallery,2,811415,2015,2015-2018,Fund
South West Museum Development,SSO,530444,2015,2015-2018,Fund
Southampton City Council,1,0,2015,2015-2018,Fund
Southbank Centre,3,19186000,2015,2015-2018,Fund
Spare Tyre Theatre Company Ltd,1,150870,2015,2015-2018,Fund
Spike Island Artspace Ltd,2,280000,2015,2015-2018,Fund
Spitalfields Festival Ltd.,1,70000,2015,2015-2018,Fund
Spread the Word,1,167696,2015,2015-2018,Fund
Square Chapel Trust,1,156050,2015,2015-2018,Fund
ss Great Britain Trust,1,0,2015,2015-2018,Fund
St Helens Council Library Service,1,0,2015,2015-2018,Fund
St Pauls Carnival (Bristol) CIC,1,0,2015,2015-2018,Fund
Stagetext,SSO,218773,2015,2015-2018,Fund
Stanley Picker Gallery,1,80000,2015,2015-2018,Fund
Stan's Cafe,1,156864,2015,2015-2018,Fund
Stockton Arts Centre Ltd,2,306091,2015,2015-2018,Fund
Stockton Borough Council Tees Valley Museum Group,2,0,2015,2015-2018,Fund
Stockton International Riverside Festival,2,201355,2015,2015-2018,Fund
Stoke on Trent & North Staffordshire Theatre Trust,2,932401,2015,2015-2018,Fund
Stopgap Dance Company,2,191653,2015,2015-2018,Fund
Stratford Circus,2,301738,2015,2015-2018,Fund
Streetwise Opera,1,100580,2015,2015-2018,Fund
Strike A Light,1,0,2015,2015-2018,Fund
Stroud Valleys Artspace,1,68947,2015,2015-2018,Fund
Studio 3 Arts,1,85493,2015,2015-2018,Fund
Studio Voltaire,1,67079,2015,2015-2018,Fund
Studio Wayne McGregor,2,515212,2015,2015-2018,Fund
Suffolk Libraries,1,0,2015,2015-2018,Fund
Sunderland Culture,2,0,2015,2015-2018,Fund
Sunshine International Arts,1,75000,2015,2015-2018,Fund
Swindon Dance,1,206200,2015,2015-2018,Fund
Take A Part CIC,1,0,2015,2015-2018,Fund
Take Art Limited,1,160425,2015,2015-2018,Fund
Talawa Theatre Company Ltd,2,372144,2015,2015-2018,Fund
Talking Birds Theatre Company Limited,1,67228,2015,2015-2018,Fund
Tamasha Theatre Company,2,314465,2015,2015-2018,Fund
Tangle Ltd,1,85000,2015,2015-2018,Fund
Tangled Feet,1,0,2015,2015-2018,Fund
Tara Arts,1,207193,2015,2015-2018,Fund
Tavaziva Dance,1,188505,2015,2015-2018,Fund
Teesside University,2,510756,2015,2015-2018,Fund
Tete a Tete,1,100579,2015,2015-2018,Fund
Thackray Medical Museum,1,0,2015,2015-2018,Fund
Thames Festival Trust,1,150000,2015,2015-2018,Fund
the Albany,1,176014,2015,2015-2018,Fund
the Albany,SSO,0,2015,2015-2018,Fund
The Alternative Theatre Company Ltd.,2,495281,2015,2015-2018,Fund
The Anvil Trust Ltd,1,138949,2015,2015-2018,Fund
The Artangel Trust,2,852333,2015,2015-2018,Fund
The Arts Depot Trust Ltd,2,301738,2015,2015-2018,Fund
The Ashton Group Theatre,1,80494,2015,2015-2018,Fund
The Audience Agency,SSO,0,2015,2015-2018,Fund
The Bike Shed Theatre,1,75000,2015,2015-2018,Fund
The Bluecoat,2,486887,2015,2015-2018,Fund
The Bowes Museum,2,0,2015,2015-2018,Fund
The Bronte Society,1,0,2015,2015-2018,Fund
The Children's Bookshow,1,67079,2015,2015-2018,Fund
The Courtyard Trust,1,212860,2015,2015-2018,Fund
The Creative Art House,1,131687,2015,2015-2018,Fund
The Customs House,1,100677,2015,2015-2018,Fund
The DanceXchange Limited,2,760126,2015,2015-2018,Fund
The Devon Guild of Craftsmen,1,155557,2015,2015-2018,Fund
The Dukes Playhouse Ltd,2,256189,2015,2015-2018,Fund
The Forge,1,57496,2015,2015-2018,Fund
The Gate Theatre Company Ltd,2,306330,2015,2015-2018,Fund
The Geffrye Museum,1,0,2015,2015-2018,Fund
The Hall For Cornwall Trust,2,376282,2015,2015-2018,Fund
The Hepworth Wakefield Trust,2,906101,2015,2015-2018,Fund
The Lawnmowers Independent Theatre Company,1,60997,2015,2015-2018,Fund
The Literary Consultancy,1,73985,2015,2015-2018,Fund
The Lowry Centre Trust,2,800000,2015,2015-2018,Fund
The Lyric Theatre Hammersmith Limited,3,1100000,2015,2015-2018,Fund
The Maltings Berwick Trust Limited,1,176387,2015,2015-2018,Fund
The Met,1,100579,2015,2015-2018,Fund
The Midi Music Company,1,117234,2015,2015-2018,Fund
The Mighty Creatives,SSO,862477,2015,2015-2018,Fund
The Ministry of Stories,1,89113,2015,2015-2018,Fund
The National Holocaust Centre and Museum,2,0,2015,2015-2018,Fund
The National Youth Brass Band of Great Britain,1,118140,2015,2015-2018,Fund
The New Carnival Company CIC,1,76661,2015,2015-2018,Fund
The Octagon Theatre Trust,2,614060,2015,2015-2018,Fund
The Organisation for New Music and Sound,2,704659,2015,2015-2018,Fund
The Photographers' Gallery,2,902265,2015,2015-2018,Fund
The Poetry Archive,1,106614,2015,2015-2018,Fund
The Poetry School,1,140409,2015,2015-2018,Fund
The Poetry Society,2,354559,2015,2015-2018,Fund
The Point,1,125000,2015,2015-2018,Fund
The Pound Arts Trust Ltd,1,75435,2015,2015-2018,Fund
The Reader,1,0,2015,2015-2018,Fund
The Reading Agency,2,335394,2015,2015-2018,Fund
The Robert Pacitti Company Ltd,2,266708,2015,2015-2018,Fund
The Roundhouse Trust,2,974713,2015,2015-2018,Fund
The Seachange Trust,2,300000,2015,2015-2018,Fund
The Showroom,1,127894,2015,2015-2018,Fund
The Southampton Nuffield Theatre Trust,2,974349,2015,2015-2018,Fund
The Spark Arts for Children,1,80866,2015,2015-2018,Fund
The Spring Arts & Heritage Centre,1,0,2015,2015-2018,Fund
The Story Museum,1,0,2015,2015-2018,Fund
The Tank Museum,1,0,2015,2015-2018,Fund
The Theatre Orchard,1,0,2015,2015-2018,Fund
The Wigmore Hall Trust,2,337987,2015,2015-2018,Fund
The Writing Squad,1,97743,2015,2015-2018,Fund
The Yard Theatre Ltd.,1,0,2015,2015-2018,Fund
The York Early Music Foundation,2,270467,2015,2015-2018,Fund
Theatre Alibi,1,241597,2015,2015-2018,Fund
Theatre Bristol Ltd,1,106985,2015,2015-2018,Fund
Theatre Centre,1,240000,2015,2015-2018,Fund
Theatre de Complicite Education Ltd,2,363622,2015,2015-2018,Fund
Theatre Hullabaloo,2,250318,2015,2015-2018,Fund
Theatre in the Mill,1,40271,2015,2015-2018,Fund
Theatre Peckham,1,142924,2015,2015-2018,Fund
Theatre Royal (Plymouth) Ltd,3,1185500,2015,2015-2018,Fund
Theatre-Rites,1,240389,2015,2015-2018,Fund
Third Angel,1,120000,2015,2015-2018,Fund
Threshold Studios,1,80463,2015,2015-2018,Fund
Tiata Fahodzi Ltd,1,146500,2015,2015-2018,Fund
TIN Arts,1,81453,2015,2015-2018,Fund
Tobacco Factory Theatres,1,60348,2015,2015-2018,Fund
Together! 2012 CIC,1,0,2015,2015-2018,Fund
Told by an Idiot,1,168214,2015,2015-2018,Fund
Tom Dale Company,1,0,2015,2015-2018,Fund
Tomorrow's Warriors Ltd,1,208744,2015,2015-2018,Fund
Towner Art Gallery,2,359350,2015,2015-2018,Fund
Travaux Sauvages Ltd t/a Wildworks,1,206188,2015,2015-2018,Fund
Travelling Light Theatre Company,1,202000,2015,2015-2018,Fund
Triangle Arts Trust,2,284866,2015,2015-2018,Fund
Tricycle Theatre,2,729518,2015,2015-2018,Fund
Tullie House Museum and Art Gallery,3,1045165,2015,2015-2018,Fund
Turner Contemporary,2,574961,2015,2015-2018,Fund
"Turner Sims, Southampton",1,43122,2015,2015-2018,Fund
tutti frutti productions,1,178703,2015,2015-2018,Fund
Tyne & Wear Archives & Museums,SSO,156936,2015,2015-2018,Fund
Tyne & Wear Archives & Museums,SSO,500000,2015,2015-2018,Fund
Tyne & Wear Archives & Museums,3,3136929,2015,2015-2018,Fund
Tyneside Cinema,1,124275,2015,2015-2018,Fund
UK Young Artists,1,0,2015,2015-2018,Fund
Unfolding Theatre,1,0,2015,2015-2018,Fund
Unicorn Theatre (Caryl Jenner Productions),3,1303884,2015,2015-2018,Fund
Unity Theatre,2,272000,2015,2015-2018,Fund
University of Cambridge Museums,3,1454754,2015,2015-2018,Fund
University of Derby Theatre limited,2,500000,2015,2015-2018,Fund
"University of Leicester, Attenborough Arts Centre",1,50289,2015,2015-2018,Fund
University of Oxford,3,1456938,2015,2015-2018,Fund
University of the Arts London – Afterall,1,65641,2015,2015-2018,Fund
University of the Arts London (trading as Artquest),SSO,125054,2015,2015-2018,Fund
University of Warwick,2,492113,2015,2015-2018,Fund
Unlimited Theatre,1,166118,2015,2015-2018,Fund
UP Projects,1,100580,2015,2015-2018,Fund
Upswing Aerial Limited,1,115667,2015,2015-2018,Fund
Urban Development Ltd,1,150870,2015,2015-2018,Fund
Vamos Theatre Company,1,0,2015,2015-2018,Fund
Vane Contemporary Art Limited,1,60406,2015,2015-2018,Fund
Venture Arts,1,0,2015,2015-2018,Fund
Vincent Dance Theatre,1,261762,2015,2015-2018,Fund
Vital Xposure,1,100580,2015,2015-2018,Fund
Viva Chamber Orchestra Ltd,1,192106,2015,2015-2018,Fund
Vivid Projects,1,0,2015,2015-2018,Fund
VocalEyes,SSO,175810,2015,2015-2018,Fund
Voluntary Arts Network,SSO,95826,2015,2015-2018,Fund
Wakefield Council – Museums,1,0,2015,2015-2018,Fund
Walk The Plank,1,145656,2015,2015-2018,Fund
Walsall Council,2,881487,2015,2015-2018,Fund
Wasafiri Ltd,1,59413,2015,2015-2018,Fund
Watermill Theatre,2,450385,2015,2015-2018,Fund
Watershed Arts Trust Ltd,2,744289,2015,2015-2018,Fund
Waterside Artists Co-operative Limited,1,67078,2015,2015-2018,Fund
Watts Gallery Trust,1,0,2015,2015-2018,Fund
Wavendon Allmusic Plan Ltd,2,379222,2015,2015-2018,Fund
Welsh National Opera,3,6123000,2015,2015-2018,Fund
West Yorkshire Print Workshop,1,54366,2015,2015-2018,Fund
Whitechapel Gallery,3,1510168,2015,2015-2018,Fund
Whitstable Biennale,1,0,2015,2015-2018,Fund
Wiltshire Music Centre Trust Ltd,1,101675,2015,2015-2018,Fund
Wired Aerial Theatre Ltd,1,165000,2015,2015-2018,Fund
Wise Children,2,0,2015,2015-2018,Fund
Without Walls,3,0,2015,2015-2018,Fund
Wolverhampton City Council,1,127755,2015,2015-2018,Fund
Woodhorn Charitable Trust,1,0,2015,2015-2018,Fund
Workplace Foundation,1,105409,2015,2015-2018,Fund
World Heart Beat Music Academy,1,0,2015,2015-2018,Fund
Writers' Centre Norwich,2,466405,2015,2015-2018,Fund
Writing East Midlands,1,125724,2015,2015-2018,Fund
Writing on the Wall,1,76661,2015,2015-2018,Fund
Writing West Midlands,1,181043,2015,2015-2018,Fund
Wysing Arts Centre,2,399768,2015,2015-2018,Fund
Yaram Arts CIC,1,79900,2015,2015-2018,Fund
Yellow Earth Theatre Company,1,0,2015,2015-2018,Fund
York Citizen's Theatre Trust,2,587254,2015,2015-2018,Fund
York Museums Trust,SSO,338982,2015,2015-2018,Fund
York Museums Trust,3,1230000,2015,2015-2018,Fund
Yorkshire Artspace Society Ltd,1,71870,2015,2015-2018,Fund
Yorkshire Dance Centre Trust,2,325793,2015,2015-2018,Fund
Yorkshire Sculpture Park,3,1312646,2015,2015-2018,Fund
Young Vic Company,3,1760143,2015,2015-2018,Fund
Youth Music Theatre UK,1,150000,2015,2015-2018,Fund
Z-arts,2,0,2015,2015-2018,Fund
ZENDEH Productions,1,100677,2015,2015-2018,Fund
ZoieLogic Dance Theatre,1,0,2015,2015-2018,Fund
ZooNation Ltd,1,0,2015,2015-2018,Fund
1927,1,0,2016,2015-2018,Fund
2 Faced Dance Company Limited,1,192000,2016,2015-2018,Fund
20 Stories High,1,162905,2016,2015-2018,Fund
A New Direction London Limited,SSO,1506375,2016,2015-2018,Fund
A Space Arts,1,0,2016,2015-2018,Fund
AA2A Limited,SSO,0,2016,2015-2018,Fund
Abandon Normal Devices,1,135000,2016,2015-2018,Fund
Academy of Circus Arts and Physical Theatre t/a Circomedia,1,106552,2016,2015-2018,Fund
Access All Areas,1,0,2016,2015-2018,Fund
ACE Dance and music,2,221966,2016,2015-2018,Fund
acta community theatre ltd,1,80000,2016,2015-2018,Fund
Action Hero,1,0,2016,2015-2018,Fund
Action Space London Events,1,73416,2016,2015-2018,Fund
Action Transport Theatre,1,120696,2016,2015-2018,Fund
Activate Performing Arts Ltd,2,251422,2016,2015-2018,Fund
Actors Touring Company,1,207773,2016,2015-2018,Fund
Africa Oye Limited,1,163448,2016,2015-2018,Fund
AIR in G (Arts in Rural Gloucestershire) Ltd,1,42243,2016,2015-2018,Fund
Akademi,1,215000,2016,2015-2018,Fund
Akram Khan Dance Company,2,500610,2016,2015-2018,Fund
Albatross Arts Project,1,40231,2016,2015-2018,Fund
Almeida Theatre Company Limited,2,675499,2016,2015-2018,Fund
Amber Film & Photography Collective,1,0,2016,2015-2018,Fund
a-n The Artists Information Company,SSO,212754,2016,2015-2018,Fund
And Other Stories Publishing CIC,1,40000,2016,2015-2018,Fund
Applause Rural Touring,1,0,2016,2015-2018,Fund
Apples and Snakes,2,455000,2016,2015-2018,Fund
Arcola Theatre Production Company,2,301738,2016,2015-2018,Fund
Arena Theatre (University of Wolverhampton),1,110068,2016,2015-2018,Fund
Art Asia Trust Limited,1,95827,2016,2015-2018,Fund
Art Gene Limited,1,0,2016,2015-2018,Fund
Art Monthly,1,40232,2016,2015-2018,Fund
Art Services Grants Ltd,1,221221,2016,2015-2018,Fund
Artcore,1,0,2016,2015-2018,Fund
Artichoke Trust,2,468134,2016,2015-2018,Fund
Artlink Hull,1,65347,2016,2015-2018,Fund
Artlink West Yorkshire,1,60406,2016,2015-2018,Fund
ArtReach (Trust) Ltd,2,0,2016,2015-2018,Fund
Arts & Health South West,1,40000,2016,2015-2018,Fund
Arts & Health South West,SSO,0,2016,2015-2018,Fund
Arts & Heritage (PHC) Plymouth City Council,3,0,2016,2015-2018,Fund
Arts Alive,1,58781,2016,2015-2018,Fund
Arts Catalyst,1,130000,2016,2015-2018,Fund
