Applicant Name,Funding Band,Amount,Year,Period,Type
Hull Truck Theatre,2,790680,2015,2015-2018,Fund
Ikon Gallery,3,1009728,2015,2015-2018,Fund
Ilkley Literature Festival Ltd,1,137424,2015,2015-2018,Fund
ILUVLIVE,1,103856,2015,2015-2018,Fund
imitating the dog,1,0,2015,2015-2018,Fund
Impressions Gallery of Photography Limited,1,202281,2015,2015-2018,Fund
Improbable,1,216533,2015,2015-2018,Fund
In Between Time,1,191101,2015,2015-2018,Fund
Index on Censorship,SSO,43122,2015,2015-2018,Fund
Inner City Music Ltd,1,94958,2015,2015-2018,Fund
Inpress Ltd,SSO,133488,2015,2015-2018,Fund
In-Situ,1,0,2015,2015-2018,Fund
Institute of Contemporary Arts,2,862441,2015,2015-2018,Fund
Institute of Fundraising,SSO,0,2015,2015-2018,Fund
Institute of International Visual Arts,1,228344,2015,2015-2018,Fund
International Curators Forum,1,0,2015,2015-2018,Fund
Interplay Theatre Trust,1,151017,2015,2015-2018,Fund
Intoart,1,92798,2015,2015-2018,Fund
Invisible Dust,1,0,2015,2015-2018,Fund
Invisible Flock Co,1,0,2015,2015-2018,Fund
IOU Ltd,1,185000,2015,2015-2018,Fund
Ironbridge Gorge Museum Trust,2,736164,2015,2015-2018,Fund
Ironbridge Gorge Museum Trust,SSO,302976,2015,2015-2018,Fund
ISAN,SSO,88442,2015,2015-2018,Fund
Jacksons Lane,1,129747,2015,2015-2018,Fund
Jasmin Vardimon Dance Company,2,289567,2015,2015-2018,Fund
Jazz North,SSO,190000,2015,2015-2018,Fund
Jazz re:freshed,1,95795,2015,2015-2018,Fund
Jerwood Gallery,1,0,2015,2015-2018,Fund
Jewish Museum London,1,0,2015,2015-2018,Fund
J-Night,1,68749,2015,2015-2018,Fund
John Hansard Gallery,2,447511,2015,2015-2018,Fund
Junction Arts Limited,1,100579,2015,2015-2018,Fund
Junction CDC Ltd,2,587418,2015,2015-2018,Fund
Kala Sangam - The Academy of South Asian Performing Arts,1,100000,2015,2015-2018,Fund
Kaleider Limited,1,110000,2015,2015-2018,Fund
Kali Theatre Co.,1,196500,2015,2015-2018,Fund
KARST,1,0,2015,2015-2018,Fund
Kendal Brewery Arts Centre,2,321854,2015,2015-2018,Fund
Kettle's Yard,2,148757,2015,2015-2018,Fund
Kids in Museums,SSO,0,2015,2015-2018,Fund
Kinetika Bloco,1,0,2015,2015-2018,Fund
Kinetika People,1,98845,2015,2015-2018,Fund
Kirklees Theatre Trust,1,148531,2015,2015-2018,Fund
Kneehigh Theatre Trust,2,354672,2015,2015-2018,Fund
Knowle West Media Centre,1,90522,2015,2015-2018,Fund
Koestler Trust,1,75000,2015,2015-2018,Fund
