Applicant Name,Funding Band,Funding Source (GIA or LOT),Funding Source Description,Funding Band Description,Portfolio funded in 2015-18?,Bridge Organisation,Technical Uplift,Technical Reduction,Museum Development
Corn Exchange (Newbury) Trust,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Cornwall Museums Partnership,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Counterpoints Arts,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Crafts Council,3,LOT,National Lottery,Band 3,True,False,False,False,False
Craftspace,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Create Gloucestershire,SSO,GIA,Grant in Aid,Sector Support Organisation,False,False,False,False,False
Create London,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Create Studios Digital Media CIC,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Creative & Cultural Skills,SSO,GIA,Grant in Aid,Sector Support Organisation,True,False,False,False,False
Creative Arts East,1,LOT,National Lottery,Band 1,True,False,False,False,False
Creative Foundation,2,GIA,Grant in Aid,Band 2,False,False,False,False,False
Creative Kernow Ltd,1,LOT,National Lottery,Band 1,True,False,False,False,False
Creative Sector Services CIC,SSO,GIA,Grant in Aid,Sector Support Organisation,False,False,False,False,False
Creative Skillset,SSO,GIA,Grant in Aid,Sector Support Organisation,False,False,False,False,False
Creativity Works,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Crescent Arts,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Crying Out Loud,1,LOT,National Lottery,Band 1,True,False,False,False,False
Cubitt Artists Limited,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Culture Coventry,2,GIA,Grant in Aid,Band 2,False,False,False,False,False
Culture Squared CIC,2,GIA,Grant in Aid,Band 2,False,False,False,False,False
"Culture, Learning and Libraries (Midlands) - Library Service",1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Culture24,SSO,GIA,Grant in Aid,Sector Support Organisation,False,False,False,False,False
CultureMix Arts Ltd,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Cumbria Theatre Trust,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
curious directive,1,LOT,National Lottery,Band 1,False,False,False,False,False
Curious Minds,SSO,LOT,National Lottery,Sector Support Organisation,True,True,False,False,False
DaDaFest,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Daily Life Ltd,1,LOT,National Lottery,Band 1,True,False,False,False,False
Dance City,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Dance Consortium,2,LOT,National Lottery,Band 2,True,False,False,False,False
Dance Umbrella,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Dance United Yorkshire,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Dance4,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
DanceEast,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Dancefest,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Darbar Arts Culture Heritage Trust,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
darts (Doncaster Community Arts),1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Dash Arts Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
De La Warr Pavilion,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Deafinitely Theatre,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Déda,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Dedalus Limited,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Derby Museums,2,GIA,Grant in Aid,Band 2,True,False,False,True,False
Derby QUAD Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
