Applicant Name,Funding Band,Alternative Name,Web address,Local Authority,Area,ACE Region,ONS Region,Funding Source (GIA or LOT),Funding Source Description,Funding Band Description,Discipline,Portfolio funded in 2015-18?,Bridge Organisation,Technical Uplift,Technical Reduction,Museum Development
ISAN,SSO,Independent Street Arts Network,http://www.isanuk.org,Camden,National,London,London,GIA,Grant in Aid,Sector Support Organisation,Combined arts,True,False,False,False,False
Jacksons Lane,1,,http://www.jacksonslane.org.uk,Haringey,London,London,London,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Jasmin Vardimon Dance Company,2,,http://www.jasminvardimon.com,Ashford,South East,South East,South East,GIA,Grant in Aid,Band 2,Dance,True,False,False,False,False
Jazz North,SSO,,http://www.jazznorth.org,Doncaster,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Sector Support Organisation,Music,True,False,False,False,False
Jazz re:freshed,1,,http://www.jazzrefreshed.com,Lewisham,London,London,London,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Jerwood Gallery,1,,http://www.jerwoodgallery.org,Hastings,South East,South East,South East,GIA,Grant in Aid,Band 1,Visual arts,False,False,False,False,False
Jewish Museum London,1,,http://www.jewishmuseum.org.uk/,Camden,London,London,London,GIA,Grant in Aid,Band 1,Museums,False,False,False,False,False
J-Night,1,,http://www.jnight.org,York,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
John Hansard Gallery,2,,http://www.hansardgallery.org.uk,Southampton,South West,South West,South East,GIA,Grant in Aid,Band 2,Visual arts,True,False,False,False,False
Junction Arts Limited,1,,http://www.junctionarts.org,Chesterfield,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Junction CDC Ltd,2,,http://www.junction.co.uk,Cambridge,South East,East,East of England,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
Kala Sangam - The Academy of South Asian Performing Arts,1,,http://www.kalasangam.org/,Bradford,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Kaleider Limited,1,,http://www.kaleider.com,Exeter,South West,South West,South West,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Kali Theatre Co.,1,,http://www.kalitheatre.co.uk,Lewisham,London,London,London,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
KARST,1,,http://www.karst.org.uk,Plymouth,South West,South West,South West,GIA,Grant in Aid,Band 1,Visual arts,False,False,False,False,False
