Applicant Name,Funding Band,Alternative Name,Web address,Local Authority,Area,ACE Region,ONS Region,Funding Source (GIA or LOT),Funding Source Description,Funding Band Description,Discipline,Portfolio funded in 2015-18?,Bridge Organisation,Technical Uplift,Technical Reduction,Museum Development
Snape Maltings,3,,http://www.snapemaltings.co.uk,Suffolk Coastal,South East,East,East of England,GIA,Grant in Aid,Band 3,Music,True,False,False,False,False
Society Of Chief Librarians,SSO,,http://www.goscl.com,Southend-on-Sea,National,East,East of England,GIA,Grant in Aid,Sector Support Organisation,Libraries,False,False,False,False,False
Soft Touch Arts Ltd,1,,http://www.soft-touch.org.uk,Leicester,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Soho Theatre Company,2,,http://www.sohotheatre.com,Westminster,London,London,London,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
Somerset Art Works,1,SAW Ltd,http://www.somersetartworks.org.uk,South Somerset,South West,South West,South West,GIA,Grant in Aid,Band 1,Visual arts,False,False,False,False,False
Somerset Film and Video Ltd,1,,http://www.somersetfilm.com,Sedgemoor,South West,South West,South West,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Sonia Sabri Company,1,,http://www.ssco.org.uk,Birmingham,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Dance,True,False,False,False,False
Sound UK Arts,1,,http://www.sounduk.net,Hackney,London,London,London,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
SoundCity,1,,http://www.liverpoolsoundcity.co.uk,Liverpool,North,North West,North West,GIA,Grant in Aid,Band 1,Music,False,False,False,False,False
South Asian Arts-uk,1,,http://www.saa-uk.org,Leeds,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
South East Dance Ltd,2,,http://southeastdance.org.uk/,Brighton and Hove,South East,South East,South East,GIA,Grant in Aid,Band 2,Dance,True,False,False,False,False
South East Museum Development Programme,SSO,Brighton & Hove City Council,http://www.southeastmuseums.org,Brighton and Hove,South East,South East,South East,GIA,Grant in Aid,Sector Support Organisation,Museums,True,False,False,False,True
South London Gallery,2,South London Fine Art Gallery and Library,http://www.southlondongallery.org,Southwark,London,London,London,GIA,Grant in Aid,Band 2,Visual arts,True,False,False,False,False
South West Museum Development,SSO,Bristol City Council,http://www.southwestmuseums.org.uk,"Bristol, City of",South West,South West,South West,GIA,Grant in Aid,Sector Support Organisation,Museums,True,False,False,False,True
Southampton City Council,1,,http://www.southampton.gov.uk,Southampton,South West,South West,South East,GIA,Grant in Aid,Band 1,Visual arts,False,False,False,False,False
Southbank Centre,3,,http://www.southbankcentre.co.uk,Lambeth,London,London,London,GIA,Grant in Aid,Band 3,Combined arts,True,False,False,True,False
Spare Tyre Theatre Company Ltd,1,,http://www.sparetyre.org,Lewisham,London,London,London,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Spike Island Artspace Ltd,2,,http://spikeisland.org.uk/,"Bristol, City of",South West,South West,South West,LOT,National Lottery,Band 2,Visual arts,True,False,False,False,False
Spitalfields Festival Ltd.,1,,http://www.spitalfieldsmusic.org.uk,Tower Hamlets,London,London,London,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Spread the Word,1,,http://www.spreadtheword.org.uk,Lewisham,London,London,London,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
Square Chapel Trust,1,,http://www.squarechapel.co.uk,Calderdale,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
ss Great Britain Trust,1,,http://www.ssgreatbritain.org,"Bristol, City of",South West,South West,South West,GIA,Grant in Aid,Band 1,Museums,False,False,False,False,False
St Helens Council Library Service,1,St Helens Council,https://www.sthelens.gov.uk,St. Helens,North,North West,North West,GIA,Grant in Aid,Band 1,Libraries,False,False,False,False,False
St Pauls Carnival (Bristol) CIC,1,,http://stpaulscarnival.co.uk/,"Bristol, City of",South West,South West,South West,GIA,Grant in Aid,Band 1,Combined arts,False,False,False,False,False
Stagetext,SSO,,http://www.stagetext.org,Tower Hamlets,National,London,London,GIA,Grant in Aid,Sector Support Organisation,Theatre,True,False,False,False,False
Stanley Picker Gallery,1,Kingston University,http://www.stanleypickergallery.org,Kingston upon Thames,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Stan's Cafe,1,,http://www.stanscafe.co.uk,Birmingham,Midlands,West Midlands,West Midlands,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Stockton Arts Centre Ltd,2,,http://www.arconline.co.uk,Stockton-on-Tees,North,North East,North East,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
Stockton Borough Council Tees Valley Museum Group,2,Stockton on Tees  Borough Council,http://www.prestonparkmuseum.co.uk/,Stockton-on-Tees,North,North East,North East,GIA,Grant in Aid,Band 2,Museums,False,False,False,False,False
Stockton International Riverside Festival,2,Stockton Borough Council,http://www.sirf.co.uk,Stockton-on-Tees,North,North East,North East,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
Stoke on Trent & North Staffordshire Theatre Trust,2,,http://www.newvictheatre.org.uk,Newcastle-under-Lyme,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
Stopgap Dance Company,2,,http://stopgapdance.com,Waverley,South East,South East,South East,LOT,National Lottery,Band 2,Dance,True,False,False,False,False
Stratford Circus,2,Stratford Arts Trust,http://www.stratford-circus.com,Newham,London,London,London,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
Streetwise Opera,1,,http://streetwiseopera.org,Camden,London,London,London,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Strike A Light,1,,http://www.strikealightfestival.org.uk,Gloucester,South West,South West,South West,GIA,Grant in Aid,Band 1,Theatre,False,False,False,False,False
Stroud Valleys Artspace,1,,http://www.sva.org.uk,Stroud,South West,South West,South West,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Studio 3 Arts,1,,http://www.studio3arts.org.uk,Barking and Dagenham,London,London,London,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Studio Voltaire,1,,http://www.studiovoltaire.org,Lambeth,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Studio Wayne McGregor,2,,http://waynemcgregor.com,Hackney,London,London,London,GIA,Grant in Aid,Band 2,Dance,True,False,False,False,False
Suffolk Libraries,1,,http://www.suffolklibraries.co.uk,Ipswich,South East,East,East of England,GIA,Grant in Aid,Band 1,Libraries,False,False,False,False,False
Sunderland Culture,2,,http://sunderlandculture.org.uk,Sunderland,North,North East,North East,GIA,Grant in Aid,Band 2,Visual arts,False,False,False,False,False
Sunshine International Arts,1,,http://www.sunshineiarts.co.uk,Haringey,London,London,London,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Swindon Dance,1,,http://www.swindondance.org.uk,Swindon,South West,South West,South West,GIA,Grant in Aid,Band 1,Dance,True,False,False,False,False
Take A Part CIC,1,,http://www.effordtakeapart.org.uk,Plymouth,South West,South West,South West,GIA,Grant in Aid,Band 1,Combined arts,False,False,False,False,False
Take Art Limited,1,,http://www.takeart.org,South Somerset,South West,South West,South West,LOT,National Lottery,Band 1,Combined arts,True,False,False,False,False
Talawa Theatre Company Ltd,2,,http://www.talawa.com,Hackney,London,London,London,LOT,National Lottery,Band 2,Theatre,True,False,False,False,False
Talking Birds Theatre Company Limited,1,,http://talkingbirds.co.uk,Coventry,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Tamasha Theatre Company,2,,http://www.tamasha.org.uk,Tower Hamlets,London,London,London,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
Tangle Ltd,1,,http://www.tangleinternational.com,South Somerset,South West,South West,South West,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Tangled Feet,1,,http://www.tangledfeet.com,Welwyn Hatfield,South East,East,East of England,LOT,National Lottery,Band 1,Combined arts,False,False,False,False,False
Tara Arts,1,,http://www.tara-arts.com,Wandsworth,London,London,London,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Tavaziva Dance,1,,http://www.tavazivadance.com,Haringey,London,London,London,LOT,National Lottery,Band 1,Dance,True,False,False,False,False
Teesside University,2,,http://www.tees.ac.uk,Middlesbrough,North,North East,North East,GIA,Grant in Aid,Band 2,Visual arts,True,False,False,False,False
Tete a Tete,1,,http://www.tete-a-tete.org.uk,Richmond upon Thames,London,London,London,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Thackray Medical Museum,1,,http://www.thackraymedicalmuseum.co.uk,Leeds,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Museums,False,False,False,False,False
Thames Festival Trust,1,,http://www.totallythames.org,Southwark,London,London,London,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
the Albany,1,,http://www.thealbany.org.uk,Lewisham,London,London,London,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
the Albany,SSO,,http://www.thealbany.org.uk,Lewisham,National,London,London,GIA,Grant in Aid,Sector Support Organisation,Combined arts,False,False,False,False,False
The Alternative Theatre Company Ltd.,2,,http://www.bushtheatre.co.uk,Hammersmith and Fulham,London,London,London,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
The Anvil Trust Ltd,1,,http://www.anvilarts.org.uk,Basingstoke and Deane,South West,South West,South East,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
The Artangel Trust,2,,http://www.artangel.org.uk,Camden,London,London,London,GIA,Grant in Aid,Band 2,Visual arts,True,False,False,False,False
The Arts Depot Trust Ltd,2,,http://www.artsdepot.co.uk,Barnet,London,London,London,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
The Ashton Group Theatre,1,,http://www.ashtongroup.co.uk,Barrow-in-Furness,North,North West,North West,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
The Audience Agency,SSO,,http://www.theaudienceagency.org,Manchester,National,North West,North West,GIA,Grant in Aid,Sector Support Organisation,Not discipline specific,False,False,False,False,False
The Bike Shed Theatre,1,,http://www.bikeshedtheatre.co.uk,Exeter,South West,South West,South West,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
The Bluecoat,2,,http://www.thebluecoat.org.uk,Liverpool,North,North West,North West,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
The Bowes Museum,2,,http://www.thebowesmuseum.org.uk,County Durham,North,North East,North East,GIA,Grant in Aid,Band 2,Museums,False,False,False,False,False
The Bronte Society,1,,http://www.bronte.org.uk,Bradford,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Museums,False,False,False,False,False
The Children's Bookshow,1,,http://www.thechildrensbookshow.com,Brent,London,London,London,LOT,National Lottery,Band 1,Literature,True,False,False,False,False
The Courtyard Trust,1,,http://www.courtyard.org.uk,"Herefordshire, County of",Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
The Creative Art House,1,,http://www.the-arthouse.org.uk,Wakefield,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
The Customs House,1,,http://www.customshouse.co.uk,South Tyneside,North,North East,North East,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
The DanceXchange Limited,2,,http://www.dancexchange.org.uk,Birmingham,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 2,Dance,True,False,False,False,False
The Devon Guild of Craftsmen,1,,http://www.crafts.org.uk,Teignbridge,South West,South West,South West,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
The Dukes Playhouse Ltd,2,,http://www.dukes-lancaster.org,Lancaster,North,North West,North West,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
The Forge,1,County Durham Arts In Education Agency,http://www.intheforge.com,County Durham,North,North East,North East,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
The Gate Theatre Company Ltd,2,,http://www.gatetheatre.co.uk,Kensington and Chelsea,London,London,London,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
The Geffrye Museum,1,,http://www.geffrye-museum.org.uk,Hackney,London,London,London,GIA,Grant in Aid,Band 1,Museums,False,False,False,False,False
The Hall For Cornwall Trust,2,,https://www.hallforcornwall.co.uk,Cornwall,South West,South West,South West,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
The Hepworth Wakefield Trust,2,,http://www.hepworthwakefield.org,Wakefield,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 2,Visual arts,True,False,False,False,False
The Lawnmowers Independent Theatre Company,1,,http://www.lawnmowerstheatre.com,Gateshead,North,North East,North East,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
The Literary Consultancy,1,,http://literaryconsultancy.co.uk,Islington,London,London,London,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
The Lowry Centre Trust,2,,http://www.thelowry.com,Salford,North,North West,North West,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
The Lyric Theatre Hammersmith Limited,3,,http://www.lyric.co.uk,Hammersmith and Fulham,London,London,London,GIA,Grant in Aid,Band 3,Theatre,True,False,False,False,False
The Maltings Berwick Trust Limited,1,,http://www.maltingsberwick.co.uk,Northumberland,North,North East,North East,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
The Met,1,Bury Metropolitan Arts Association,http://www.themet.biz,Bury,North,North West,North West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
The Midi Music Company,1,,http://www.themidimusiccompany.co.uk,Lewisham,London,London,London,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
The Mighty Creatives,SSO,,http://www.themightycreatives.com,Leicester,Midlands,East Midlands,East Midlands,LOT,National Lottery,Sector Support Organisation,Not discipline specific,True,True,False,False,False
The Ministry of Stories,1,,http://ministryofstories.org,Hackney,London,London,London,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
The National Holocaust Centre and Museum,2,,http://www.nationalholocaustcentre.net,Newark and Sherwood,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 2,Museums,False,False,False,False,False
The National Youth Brass Band of Great Britain,1,,http://nybbgb.com,South Cambridgeshire,South East,East,East of England,GIA,Grant in Aid,Band 1,Music,True,False,False,True,False
The New Carnival Company CIC,1,,http://Www.thenewcarnivalcompany.com,Isle of Wight,South West,South West,South East,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
The Octagon Theatre Trust,2,,http://www.octagonbolton.co.uk,Bolton,North,North West,North West,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
The Organisation for New Music and Sound,2,,http://www.soundandmusic.org,Westminster,London,London,London,GIA,Grant in Aid,Band 2,Music,True,False,False,False,False
The Photographers' Gallery,2,,http://www.photonet.org.uk,Westminster,London,London,London,GIA,Grant in Aid,Band 2,Visual arts,True,False,False,False,False
The Poetry Archive,1,,http://www.poetryarchive.org,Stroud,South West,South West,South West,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
The Poetry School,1,,https://poetryschool.com,Lambeth,London,London,London,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
The Poetry Society,2,,http://www.poetrysociety.org.uk,Camden,London,London,London,GIA,Grant in Aid,Band 2,Literature,True,False,False,False,False
The Point,1,Eastleigh Borough Council,http://www.thepointeastleigh.co.uk,Eastleigh,South West,South West,South East,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
The Pound Arts Trust Ltd,1,,http://www.poundarts.org.uk,Wiltshire,South West,South West,South West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
The Reader,1,,http://www.thereader.org.uk/,Liverpool,North,North West,North West,GIA,Grant in Aid,Band 1,Literature,False,False,False,False,False
The Reading Agency,2,,http://readingagency.org.uk,Islington,London,London,London,GIA,Grant in Aid,Band 2,Literature,True,False,False,False,False
The Robert Pacitti Company Ltd,2,,http://www.pacitticompany.com,Ipswich,South East,East,East of England,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
The Roundhouse Trust,2,,http://www.roundhouse.org.uk,Camden,London,London,London,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
The Seachange Trust,2,,http://seachangearts.org.uk/,Great Yarmouth,South East,East,East of England,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
The Showroom,1,,http://www.theshowroom.org,Westminster,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
The Southampton Nuffield Theatre Trust,2,,https://www.nstheatres.co.uk/,Southampton,South West,South West,South East,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
The Spark Arts for Children,1,,http://www.thesparkarts.co.uk,Leicester,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
The Spring Arts & Heritage Centre,1,,http://www.thespring.co.uk,Havant,South West,South West,South East,GIA,Grant in Aid,Band 1,Combined arts,False,False,False,False,False
The Story Museum,1,,http://www.storymuseum.org.uk,Oxford,South East,South East,South East,GIA,Grant in Aid,Band 1,Literature,False,False,False,False,False
The Tank Museum,1,,http://www.tankmuseum.org,Purbeck,South West,South West,South West,GIA,Grant in Aid,Band 1,Museums,False,False,False,False,False
The Theatre Orchard,1,,http://www.thetheatreorchard.org.uk,North Somerset,South West,South West,South West,GIA,Grant in Aid,Band 1,Theatre,False,False,False,False,False
The Wigmore Hall Trust,2,,http://www.wigmore-hall.org.uk,Westminster,London,London,London,GIA,Grant in Aid,Band 2,Music,True,False,False,False,False
The Writing Squad,1,,http://www.writingsquad.com,Stockport,North,North West,North West,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
The Yard Theatre Ltd.,1,,http://www.theyardtheatre.co.uk,Tower Hamlets,London,London,London,GIA,Grant in Aid,Band 1,Theatre,False,False,False,False,False
The York Early Music Foundation,2,,http://www.ncem.co.uk,York,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 2,Music,True,False,False,False,False
Theatre Alibi,1,,http://www.theatrealibi.co.uk,Exeter,South West,South West,South West,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Theatre Bristol Ltd,1,,http://theatrebristol.net/,"Bristol, City of",South West,South West,South West,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Theatre Centre,1,,http://www.theatre-centre.co.uk,Hackney,London,London,London,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Theatre de Complicite Education Ltd,2,,http://www.complicite.org/,Camden,London,London,London,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
Theatre Hullabaloo,2,Cleveland Independent Theatre Company Ltd,http://www.theatrehullabaloo.org.uk,Darlington,North,North East,North East,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
Theatre in the Mill,1,University of Bradford,http://www.brad.ac.uk/theatre/,Bradford,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Theatre Peckham,1,,http://www.theatrepeckham.co.uk,Southwark,London,London,London,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Theatre Royal (Plymouth) Ltd,3,,http://www.theatreroyal.com/,Plymouth,South West,South West,South West,GIA,Grant in Aid,Band 3,Theatre,True,False,False,False,False
Theatre-Rites,1,,http://www.theatre-rites.co.uk,Tower Hamlets,London,London,London,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Third Angel,1,,http://www.thirdangel.co.uk,Sheffield,North,Yorkshire,Yorkshire and The Humber,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Threshold Studios,1,,http://www.thresholdstudios.tv,Northampton,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Tiata Fahodzi Ltd,1,,http://www.tiatafahodzi.com,Watford,South East,East,East of England,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
TIN Arts,1,,http://www.tinarts.co.uk,County Durham,North,North East,North East,GIA,Grant in Aid,Band 1,Dance,True,False,False,False,False
Tobacco Factory Theatres,1,,http://www.tobaccofactorytheatres.com,"Bristol, City of",South West,South West,South West,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Together! 2012 CIC,1,,http://www.together2012.org.uk,Newham,London,London,London,GIA,Grant in Aid,Band 1,Not discipline specific,False,False,False,False,False
Told by an Idiot,1,,http://www.toldbyanidiot.org,Camden,London,London,London,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Tom Dale Company,1,,http://www.tomdale.org.uk,Nottingham,Midlands,East Midlands,East Midlands,LOT,National Lottery,Band 1,Dance,False,False,False,False,False
Tomorrow's Warriors Ltd,1,,http://www.tomorrowswarriors.org,Harrow,London,London,London,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Towner Art Gallery,2,,http://townereastbourne.org.uk,Eastbourne,South East,South East,South East,GIA,Grant in Aid,Band 2,Visual arts,True,False,False,False,False
Travaux Sauvages Ltd t/a Wildworks,1,,http://www.wildworks.biz,Cornwall,South West,South West,South West,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Travelling Light Theatre Company,1,,http://www.travellinglighttheatre.org.uk,"Bristol, City of",South West,South West,South West,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Triangle Arts Trust,2,,http://www.gasworks.org.uk,Lambeth,London,London,London,GIA,Grant in Aid,Band 2,Visual arts,True,False,False,False,False
Tricycle Theatre,2,,http://www.tricycle.co.uk,Brent,London,London,London,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
Tullie House Museum and Art Gallery,3,,http://www.tulliehouse.co.uk,Carlisle,North,North West,North West,GIA,Grant in Aid,Band 3,Museums,True,False,True,False,False
Turner Contemporary,2,,http://www.turnercontemporary.org,Thanet,South East,South East,South East,GIA,Grant in Aid,Band 2,Visual arts,True,False,False,False,False
"Turner Sims, Southampton",1,University of Southampton - Turner Sims,http://www.turnersims.co.uk,Southampton,South West,South West,South East,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
tutti frutti productions,1,,http://www.tutti-frutti.org.uk,Leeds,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Tyne & Wear Archives & Museums,SSO,,https://twmuseums.org.uk/,Newcastle upon Tyne,North,North East,North East,GIA,Grant in Aid,Sector Support Organisation,Museums,True,False,False,False,True
Tyne & Wear Archives & Museums,SSO,,https://twmuseums.org.uk/,Newcastle upon Tyne,North,North East,North East,LOT,National Lottery,Sector Support Organisation,Not discipline specific,True,True,False,False,False
Tyne & Wear Archives & Museums,3,,https://twmuseums.org.uk/,Newcastle upon Tyne,North,North East,North East,GIA,Grant in Aid,Band 3,Museums,True,False,False,False,False
Tyneside Cinema,1,,http://www.tynesidecinema.co.uk,Newcastle upon Tyne,North,North East,North East,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
UK Young Artists,1,,http://www.ukyoungartists.co.uk,Charnwood,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Visual arts,False,False,False,False,False
Unfolding Theatre,1,,http://www.unfoldingtheatre.co.uk,Newcastle upon Tyne,North,North East,North East,LOT,National Lottery,Band 1,Theatre,False,False,False,False,False
Unicorn Theatre (Caryl Jenner Productions),3,,https://www.unicorntheatre.com/,Southwark,London,London,London,GIA,Grant in Aid,Band 3,Theatre,True,False,False,False,False
Unity Theatre,2,,http://www.unitytheatreliverpool.co.uk,Liverpool,North,North West,North West,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
University of Cambridge Museums,3,University of Cambridge,http://www.museums.cam.ac.uk/,Cambridge,South East,East,East of England,GIA,Grant in Aid,Band 3,Museums,True,False,False,True,False
University of Derby Theatre limited,2,,http://www.derbytheatre.co.uk,Derby,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
"University of Leicester, Attenborough Arts Centre",1,University of Leicester,http://www.attenborougharts.com,Leicester,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
University of Oxford,3,,http://www.glam.ox.ac.uk,Oxford,South East,South East,South East,GIA,Grant in Aid,Band 3,Museums,True,False,False,False,False
University of the Arts London – Afterall,1,University of the Arts London,http://www.afterall.org,Camden,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
University of the Arts London (trading as Artquest),SSO,University of the Arts London,http://www.artquest.org.uk/,Camden,London,London,London,GIA,Grant in Aid,Sector Support Organisation,Visual arts,True,False,False,False,False
University of Warwick,2,,http://warwickartscentre.co.uk,Coventry,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
Unlimited Theatre,1,No Size Fits All Productions Ltd,http://unlimited.org.uk,Leeds,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
UP Projects,1,,http://upprojects.com,Tower Hamlets,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Upswing Aerial Limited,1,,http://www.upswing.org.uk,Tower Hamlets,London,London,London,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Urban Development Ltd,1,,http://www.urbandevelopment.co.uk,Newham,London,London,London,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Vamos Theatre Company,1,,http://www.vamostheatre.co.uk,Worcester,Midlands,West Midlands,West Midlands,LOT,National Lottery,Band 1,Theatre,False,False,False,False,False
Vane Contemporary Art Limited,1,,http://www.vane.org.uk,Newcastle upon Tyne,North,North East,North East,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Venture Arts,1,,http://www.venturearts.org,Manchester,North,North West,North West,GIA,Grant in Aid,Band 1,Visual arts,False,False,False,False,False
Vincent Dance Theatre,1,,http://www.vincentdt.com,Brighton and Hove,South East,South East,South East,GIA,Grant in Aid,Band 1,Dance,True,False,False,False,False
Vital Xposure,1,,http://vitalxposure.co.uk,Hackney,London,London,London,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Viva Chamber Orchestra Ltd,1,,http://www.vivaorch.co.uk,Derby,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Vivid Projects,1,,http://vividprojects.org.uk,Birmingham,Midlands,West Midlands,West Midlands,LOT,National Lottery,Band 1,Visual arts,False,False,False,False,False
VocalEyes,SSO,,http://www.vocaleyes.co.uk,Tower Hamlets,National,London,London,GIA,Grant in Aid,Sector Support Organisation,Theatre,True,False,False,False,False
Voluntary Arts Network,SSO,,http://www.voluntaryarts.org,Cardiff,National,West Midlands,WALES,GIA,Grant in Aid,Sector Support Organisation,Not discipline specific,True,False,False,False,False
Wakefield Council – Museums,1,Wakefield Metropolitan District Council ,-,Wakefield,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Museums,False,False,False,False,False
Walk The Plank,1,,http://www.walktheplank.co.uk,Salford,North,North West,North West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Walsall Council,2,,http://thenewartgallerywalsall.org.uk,Walsall,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 2,Visual arts,True,False,False,False,False
Wasafiri Ltd,1,,http://wasafiri.org,Lewisham,London,London,London,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
Watermill Theatre,2,,http://watermill.org.uk,West Berkshire,South East,South East,South East,LOT,National Lottery,Band 2,Theatre,True,False,False,False,False
Watershed Arts Trust Ltd,2,,http://watershed.co.uk,"Bristol, City of",South West,South West,South West,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
