Applicant Name,Funding Band,Year,Amount,Period,Type
Musiko Musika,1,2015,72914,2015-2018,Fund
Mytime Active,1,2015,0,2015-2018,Fund
National Association for Gallery Education (engage),SSO,2015,229806,2015-2018,Fund
National Centre for Circus Arts,2,2015,341867,2015-2018,Fund
National Criminal Justice Arts Alliance,SSO,2015,0,2015-2018,Fund
National Horseracing Museum,1,2015,0,2015-2018,Fund
National Justice Museum,1,2015,0,2015-2018,Fund
National Opera Studio,1,2015,168221,2015-2018,Fund
National Rural Touring Forum,1,2015,86583,2015-2018,Fund
National Student Drama Festival,1,2015,56542,2015-2018,Fund
National Theatre,3,2015,17217000,2015-2018,Fund
National Youth Choirs of Great Britain,1,2015,107000,2015-2018,Fund
National Youth Jazz Collective,1,2015,124690,2015-2018,Fund
National Youth Jazz Orchestra,1,2015,125000,2015-2018,Fund
National Youth Orchestra of Great Britain,1,2015,250000,2015-2018,Fund
National Youth Theatre of Great Britain,2,2015,305769,2015-2018,Fund
New Art Exchange Ltd,2,2015,502897,2015-2018,Fund
New Contemporaries (1988) Ltd,1,2015,117789,2015-2018,Fund
New International Encounter,1,2015,153323,2015-2018,Fund
New Perspectives Theatre Company,2,2015,302744,2015-2018,Fund
New Wolsey Theatre Company Ltd,2,2015,853028,2015-2018,Fund
New Writing North,2,2015,297123,2015-2018,Fund
New Writing South,1,2015,93191,2015-2018,Fund
Newhampton Arts Centre,1,2015,0,2015-2018,Fund
Newlyn Art Gallery Ltd,2,2015,361761,2015-2018,Fund
