Applicant Name,Funding Band,Year,Amount,Period,Type
Impressions Gallery of Photography Limited,1,2020,202281,2018-2022,Grant
Improbable,1,2020,216533,2018-2022,Grant
In Between Time,1,2020,191102,2018-2022,Grant
Index on Censorship,SSO,2020,43122,2018-2022,Grant
Inner City Music Ltd,1,2020,180000,2018-2022,Grant
Inpress Ltd,SSO,2020,158489,2018-2022,Grant
In-Situ,1,2020,139000,2018-2022,Grant
Institute of Contemporary Arts,2,2020,862441,2018-2022,Grant
Institute of Fundraising,SSO,2020,107958,2018-2022,Grant
Institute of International Visual Arts,1,2020,228344,2018-2022,Grant
International Curators Forum,1,2020,150000,2018-2022,Grant
Interplay Theatre Trust,1,2020,151017,2018-2022,Grant
Intoart,1,2020,120298,2018-2022,Grant
Invisible Dust,1,2020,180000,2018-2022,Grant
Invisible Flock Co,1,2020,195000,2018-2022,Grant
IOU Ltd,1,2020,185000,2018-2022,Grant
Ironbridge Gorge Museum Trust,2,2020,736164,2018-2022,Grant
Ironbridge Gorge Museum Trust,SSO,2020,307595,2018-2022,Grant
ISAN,SSO,2020,170442,2018-2022,Grant
Jacksons Lane,1,2020,129748,2018-2022,Grant
Jasmin Vardimon Dance Company,2,2020,289567,2018-2022,Grant
Jazz North,SSO,2020,190000,2018-2022,Grant
Jazz re:freshed,1,2020,130795,2018-2022,Grant
Jerwood Gallery,1,2020,100000,2018-2022,Grant
Jewish Museum London,1,2020,220000,2018-2022,Grant
J-Night,1,2020,68749,2018-2022,Grant
John Hansard Gallery,2,2020,601511,2018-2022,Grant
Junction Arts Limited,1,2020,100580,2018-2022,Grant
Junction CDC Ltd,2,2020,637418,2018-2022,Grant
Kala Sangam - The Academy of South Asian Performing Arts,1,2020,100000,2018-2022,Grant
Kaleider Limited,1,2020,110000,2018-2022,Grant
Kali Theatre Co.,1,2020,196500,2018-2022,Grant
KARST,1,2020,140000,2018-2022,Grant
Kendal Brewery Arts Centre,2,2020,321854,2018-2022,Grant
Kettle's Yard,2,2020,290757,2018-2022,Grant
Kids in Museums,SSO,2020,160000,2018-2022,Grant
Kinetika Bloco,1,2020,80000,2018-2022,Grant
Kinetika People,1,2020,123850,2018-2022,Grant
Kirklees Theatre Trust,1,2020,148531,2018-2022,Grant
Kneehigh Theatre Trust,2,2020,450000,2018-2022,Grant
Knowle West Media Centre,1,2020,90522,2018-2022,Grant
Koestler Trust,1,2020,75000,2018-2022,Grant
Lakes Arts Festivals Ltd,1,2020,234000,2018-2022,Grant
Lancaster Arts at Lancaster University,1,2020,103053,2018-2022,Grant
Lapworth Museum of Geology,1,2020,104746,2018-2022,Grant
Ledbury Poetry Festival,1,2020,53066,2018-2022,Grant
Leeds Museums and Galleries,3,2020,1590000,2018-2022,Grant
Leeds Theatre Trust Limited,3,2020,1508104,2018-2022,Grant
Leicester Arts Centre Limited,1,2020,80464,2018-2022,Grant
Leicester City Council,2,2020,400000,2018-2022,Grant
Leicester Dance Theatre Limited,2,2020,365000,2018-2022,Grant
Leicester Print Workshop,1,2020,70290,2018-2022,Grant
Leicester Theatre Trust Ltd,3,2020,1914029,2018-2022,Grant
Leicestershire County Council,SSO,2020,298179,2018-2022,Grant
Level Centre Ltd,1,2020,138800,2018-2022,Grant
Libraries Unlimited South West,1,2020,171959,2018-2022,Grant
Lighthouse Arts and Training Ltd,1,2020,114992,2018-2022,Grant
Lincoln Arts Trust Limited,1,2020,247194,2018-2022,Grant
Lincolnshire County Council,1,2020,71411,2018-2022,Grant
Literature Works,1,2020,96556,2018-2022,Grant
Littleworld Ltd t/a Horse and Bamboo Theatre,1,2020,123632,2018-2022,Grant
Live & Local Ltd,2,2020,291464,2018-2022,Grant
Live Art Development Agency,1,2020,235846,2018-2022,Grant
Live Theatre Winchester Trust,1,2020,134158,2018-2022,Grant
Liverpool & Merseyside Theatres Trust Ltd,3,2020,1649977,2018-2022,Grant
Liverpool Arab Arts Festival,1,2020,110000,2018-2022,Grant
Liverpool Biennial of Contemporary Art Ltd,2,2020,788355,2018-2022,Grant
Liverpool City Council Culture Liverpool,2,2020,250000,2018-2022,Grant
London Arts in Health Forum,1,2020,65662,2018-2022,Grant
London Borough of Barking and Dagenham,1,2020,180000,2018-2022,Grant
London Borough of Waltham Forest - WILLIAM MORRIS GALLERY,1,2020,60000,2018-2022,Grant
London International Festival of Theatre,2,2020,452608,2018-2022,Grant
London International Mime Festival,1,2020,201160,2018-2022,Grant
London Philharmonic Orchestra,3,2020,2042222,2018-2022,Grant
London Print Studio Ltd,1,2020,110890,2018-2022,Grant
London Symphony Orchestra,3,2020,2206050,2018-2022,Grant
London Transport Museum,1,2020,249000,2018-2022,Grant
Loud In Libraries CIC,1,2020,113490,2018-2022,Grant
Ludus Dance,1,2020,95644,2018-2022,Grant
Luton Carnival Arts Development Trust,1,2020,150000,2018-2022,Grant
Luton Cultural Services Trust,1,2020,249000,2018-2022,Grant
LUX,1,2020,202122,2018-2022,Grant
M6 THEATRE COMPANY LIMITED,1,2020,199320,2018-2022,Grant
Magna Vitae,1,2020,150000,2018-2022,Grant
Mahogany Community Ventures Limited,1,2020,154992,2018-2022,Grant
Manchester Camerata Limited,1,2020,156620,2018-2022,Grant
Manchester City Galleries,SSO,2020,320150,2018-2022,Grant
Manchester City Galleries,3,2020,1597659,2018-2022,Grant
Manchester Craft And Design,1,2020,80000,2018-2022,Grant
Manchester Jazz Festival,1,2020,150522,2018-2022,Grant
Manchester Jewish Museum,1,2020,110000,2018-2022,Grant
Manchester Literature Festival,1,2020,76661,2018-2022,Grant
Manchester Young People's Theatre trading as Contact,2,2020,916435,2018-2022,Grant
Mandinga Arts,1,2020,55319,2018-2022,Grant
Matt's Gallery Ltd,1,2020,153385,2018-2022,Grant
MAYK Theatre CIC,1,2020,90000,2018-2022,Grant
Meadow Arts,1,2020,160928,2018-2022,Grant
Mercury Musical Developments,SSO,2020,124467,2018-2022,Grant
Metal Culture Ltd,2,2020,565378,2018-2022,Grant
Metro-Boulot-Dodo Limited,1,2020,140000,2018-2022,Grant
MeWe Foundation,SSO,2020,195000,2018-2022,Grant
Middle Child,1,2020,150000,2018-2022,Grant
Middlesbrough Town Hall,1,2020,249000,2018-2022,Grant
Midlands Arts Centre,2,2020,739146,2018-2022,Grant
MIF,3,2020,9664000,2018-2022,Grant
Mikron Theatre Company,1,2020,47800,2018-2022,Grant
Milap Festival Trust,2,2020,362908,2018-2022,Grant
Milton Keynes Arts Centre LTD,1,2020,98000,2018-2022,Grant
Mimbre,1,2020,125773,2018-2022,Grant
Mind the Gap,1,2020,246390,2018-2022,Grant
Miracle Theatre Trust Ltd,1,2020,95000,2018-2022,Grant
MK Gallery,2,2020,383307,2018-2022,Grant
Modern Art Oxford,2,2020,892347,2018-2022,Grant
Modern Masterpieces,1,2020,200153,2018-2022,Grant
Modern Poetry in Translation,1,2020,50000,2018-2022,Grant
More Music,1,2020,105609,2018-2022,Grant
Motionhouse,2,2020,468806,2018-2022,Grant
Multistory,1,2020,140812,2018-2022,Grant
Museum of East Anglian Life,1,2020,147504,2018-2022,Grant
Museum of English Rural Life and Reading Museum Partnership,1,2020,249999,2018-2022,Grant
Museum of London,SSO,2020,244820,2018-2022,Grant
Museum of London,3,2020,1100000,2018-2022,Grant
Music for Youth,1,2020,171840,2018-2022,Grant
Music in the Round,1,2020,142963,2018-2022,Grant
Musiko Musika,1,2020,107914,2018-2022,Grant
Mytime Active,1,2020,81957,2018-2022,Grant
National Association for Gallery Education (engage),SSO,2020,229806,2018-2022,Grant
National Centre for Circus Arts,2,2020,341867,2018-2022,Grant
National Criminal Justice Arts Alliance,SSO,2020,65000,2018-2022,Grant
National Horseracing Museum,1,2020,220000,2018-2022,Grant
National Justice Museum,1,2020,240000,2018-2022,Grant
National Opera Studio,1,2020,168221,2018-2022,Grant
National Rural Touring Forum,1,2020,86583,2018-2022,Grant
National Student Drama Festival,1,2020,56543,2018-2022,Grant
National Theatre,3,2020,16700000,2018-2022,Grant
National Youth Choirs of Great Britain,1,2020,55297,2018-2022,Grant
National Youth Jazz Collective,1,2020,64439,2018-2022,Grant
National Youth Jazz Orchestra,1,2020,125000,2018-2022,Grant
National Youth Orchestra of Great Britain,1,2020,129198,2018-2022,Grant
National Youth Theatre of Great Britain,2,2020,305769,2018-2022,Grant
New Art Exchange Ltd,2,2020,852898,2018-2022,Grant
New Contemporaries (1988) Ltd,1,2020,117789,2018-2022,Grant
New International Encounter,1,2020,153323,2018-2022,Grant
New Perspectives Theatre Company,2,2020,302745,2018-2022,Grant
New Wolsey Theatre Company Ltd,2,2020,936104,2018-2022,Grant
New Writing North,2,2020,332123,2018-2022,Grant
New Writing South,1,2020,124192,2018-2022,Grant
Newhampton Arts Centre,1,2020,180000,2018-2022,Grant
Newlyn Art Gallery Ltd,2,2020,361761,2018-2022,Grant
Nine Arches Press,1,2020,62500,2018-2022,Grant
NMC Recordings Ltd.,1,2020,40000,2018-2022,Grant
NN Contemporary Art,1,2020,60000,2018-2022,Grant
no.w.here arts limited,1,2020,55419,2018-2022,Grant
NoFit State Community Circus Ltd,1,2020,201160,2018-2022,Grant
Norfolk and Norwich Festival Trust,SSO,2020,500000,2018-2022,Grant
Norfolk and Norwich Festival Trust,2,2020,814527,2018-2022,Grant
Norfolk Museums Service,SSO,2020,436282,2018-2022,Grant
Norfolk Museums Service,3,2020,1203170,2018-2022,Grant
North East Theatre Trust Ltd,2,2020,626723,2018-2022,Grant
North Kesteven District Council,1,2020,201160,2018-2022,Grant
North Lincolnshire Council 20-21 Visual Arts Centre,1,2020,74745,2018-2022,Grant
North Music Trust,3,2020,3512122,2018-2022,Grant
Northampton Theatres Trust,2,2020,846666,2018-2022,Grant
Northern Ballet Limited,3,2020,3112000,2018-2022,Grant
Northern Broadsides Theatre Company,2,2020,255287,2018-2022,Grant
Northern Print,1,2020,106648,2018-2022,Grant
Northern School of Contemporary Dance,1,2020,150000,2018-2022,Grant
Northern Stage (Theatrical Productions) Ltd,3,2020,1562496,2018-2022,Grant
Norwich Arts Centre,1,2020,182071,2018-2022,Grant
Nottingham City Museums and Galleries,2,2020,466197,2018-2022,Grant
Nottingham Contemporary,3,2020,1005796,2018-2022,Grant
Nottingham Media Centre Ltd,1,2020,100580,2018-2022,Grant
Nottingham Playhouse,3,2020,1354807,2018-2022,Grant
November Club,1,2020,100678,2018-2022,Grant
NTS Live,1,2020,69226,2018-2022,Grant
Nutkhut,1,2020,100924,2018-2022,Grant
Ockham's Razor,1,2020,181044,2018-2022,Grant
Octopus Collective Ltd.,1,2020,70232,2018-2022,Grant
Oily Cart,2,2020,286576,2018-2022,Grant
Oldham Coliseum Theatre,2,2020,604067,2018-2022,Grant
One Dance UK,SSO,2020,750000,2018-2022,Grant
Open Clasp Theatre Company,1,2020,177043,2018-2022,Grant
Open Eye gallery,1,2020,242301,2018-2022,Grant
Open School East,1,2020,90000,2018-2022,Grant
Open Theatre Company,1,2020,150000,2018-2022,Grant
OpenUp Music,1,2020,160000,2018-2022,Grant
Opera North Limited,3,2020,10386000,2018-2022,Grant
Orchestra of the Age of Enlightenment,1,2020,203904,2018-2022,Grant
Orchestras Live,2,2020,479134,2018-2022,Grant
OTO Projects CIC,1,2020,74933,2018-2022,Grant
Otolith Collective Ltd,1,2020,50290,2018-2022,Grant
Out of Joint,2,2020,426352,2018-2022,Grant
Outside In,1,2020,100000,2018-2022,Grant
Oxford Contemporary Music,1,2020,185783,2018-2022,Grant
Oxford Playhouse Trust,2,2020,379474,2018-2022,Grant
Pagoda Arts,1,2020,44864,2018-2022,Grant
Paines Plough,2,2020,315620,2018-2022,Grant
Palace Theatre Watford Limited,2,2020,790571,2018-2022,Grant
Pallant House Gallery,1,2020,89119,2018-2022,Grant
Paraiso School of Samba,1,2020,60348,2018-2022,Grant
Paraorchestra and Friends,1,2020,249000,2018-2022,Grant
Pavilion Dance South West Ltd,2,2020,386216,2018-2022,Grant
Peckham Platform Ltd,1,2020,75000,2018-2022,Grant
Peepal Tree Press,1,2020,150500,2018-2022,Grant
Peer UK,1,2020,85590,2018-2022,Grant
Pegasus Theatre Trust,2,2020,299973,2018-2022,Grant
Penned in the Margins,1,2020,45000,2018-2022,Grant
Pentabus Arts Ltd,1,2020,187332,2018-2022,Grant
People Express,1,2020,54313,2018-2022,Grant
People United,1,2020,125000,2018-2022,Grant
People's History Museum,2,2020,322000,2018-2022,Grant
People's Palace Projects,1,2020,132145,2018-2022,Grant
Perfect Pitch Musicals Ltd,1,2020,107092,2018-2022,Grant
Performances Birmingham Limited,1,2020,80464,2018-2022,Grant
Peshkar,1,2020,75794,2018-2022,Grant
Philharmonia Limited,3,2020,2042222,2018-2022,Grant
Phoenix Dance Theatre,2,2020,428510,2018-2022,Grant
Photofusion,1,2020,142895,2018-2022,Grant
Photoworks,2,2020,268315,2018-2022,Grant
Pilot Theatre Ltd,2,2020,329720,2018-2022,Grant
Pioneer Theatres Ltd t/a Theatre Royal Stratford East,3,2020,1105506,2018-2022,Grant
Plymouth Culture,SSO,2020,133000,2018-2022,Grant
Plymouth Music Zone Ltd,1,2020,130000,2018-2022,Grant
Pocklington Arts Centre,1,2020,69500,2018-2022,Grant
PoemsOnTheUnderground,1,2020,52705,2018-2022,Grant
Poet in the City,1,2020,67079,2018-2022,Grant
Poetry London,1,2020,47913,2018-2022,Grant
Poetry Translation Centre Ltd,1,2020,124575,2018-2022,Grant
Polish Expats Association cic,1,2020,97000,2018-2022,Grant
Polka Theatre,2,2020,570219,2018-2022,Grant
Poole Arts Trust Ltd,2,2020,342213,2018-2022,Grant
Pop Up Projects CIC,1,2020,85203,2018-2022,Grant
PopUp Initiative CIC (The NewBridge Project),1,2020,70000,2018-2022,Grant
Portsmouth New Theatre Royal,1,2020,249950,2018-2022,Grant
Prema Arts Centre,1,2020,69258,2018-2022,Grant
Preston City Council,1,2020,225000,2018-2022,Grant
Primary,1,2020,65000,2018-2022,Grant
Prime Theatre,1,2020,87937,2018-2022,Grant
Prism Arts,1,2020,50613,2018-2022,Grant
Project Art Works,1,2020,149676,2018-2022,Grant
Project Phakama UK,1,2020,83101,2018-2022,Grant
Project Space Leeds,2,2020,250000,2018-2022,Grant
Protein Dance Ltd,1,2020,238762,2018-2022,Grant
Proteus Theatre Company,1,2020,68600,2018-2022,Grant
Psappha Limited,1,2020,82000,2018-2022,Grant
PUNCH RECORDS,2,2020,251449,2018-2022,Grant
Punchdrunk,1,2020,226304,2018-2022,Grant
Quarantine,1,2020,160928,2018-2022,Grant
Queen's Hall Arts,1,2020,118147,2018-2022,Grant
Rambert,3,2020,2237000,2018-2022,Grant
Raw Material Music and Media Education,1,2020,117234,2018-2022,Grant
Re:Bourne,3,2020,1294000,2018-2022,Grant
Readipop,1,2020,90000,2018-2022,Grant
Real Ideas Organisation CIC,SSO,2020,875680,2018-2022,Grant
Real Ideas Organisation CIC,1,2020,150000,2018-2022,Grant
Red Earth Theatre Limited,1,2020,100580,2018-2022,Grant
Red Ladder Theatre Company,1,2020,165000,2018-2022,Grant
Redbridge Drama Centre,1,2020,65000,2018-2022,Grant
Redeye (North West Photography Network) Ltd,SSO,2020,87921,2018-2022,Grant
Resonance,1,2020,160277,2018-2022,Grant
Rich Mix Cultural Foundation,2,2020,301738,2018-2022,Grant
Rifco Arts,2,2020,325404,2018-2022,Grant
Ripon Museum Trust,1,2020,140000,2018-2022,Grant
RJC Dance,1,2020,75224,2018-2022,Grant
Rosehill Arts Trust,1,2020,62287,2018-2022,Grant
Roses Theatre Trust,1,2020,85493,2018-2022,Grant
Rosetta Art Centre,1,2020,45000,2018-2022,Grant
Rosie Kay Dance Company,1,2020,150000,2018-2022,Grant
Rotherham Open Arts Renaissance (ROAR),1,2020,70439,2018-2022,Grant
Royal Court Liverpool Trust,1,2020,225000,2018-2022,Grant
Royal Exchange Theatre Company Ltd,3,2020,2332000,2018-2022,Grant
Royal Liverpool Philharmonic,3,2020,2231646,2018-2022,Grant
Royal Opera House,3,2020,24028840,2018-2022,Grant
Royal Opera House,SSO,2020,726841,2018-2022,Grant
Royal Philharmonic Orchestra Ltd,2,2020,946394,2018-2022,Grant
Royal Shakespeare Company,3,2020,14984000,2018-2022,Grant
RTYDS Ltd,SSO,2020,185000,2018-2022,Grant
Rural Arts North Yorkshire,1,2020,75509,2018-2022,Grant
Rural Media Charity,1,2020,246500,2018-2022,Grant
Russell Maliphant Company,1,2020,249000,2018-2022,Grant
Sadler's Wells,3,2020,2456153,2018-2022,Grant
Salisbury Arts Theatre Ltd,3,2020,1277944,2018-2022,Grant
Sampad (South Asian Arts Development),1,2020,243906,2018-2022,Grant
Scarborough Theatre Trust Ltd,2,2020,637715,2018-2022,Grant
Serendipity,1,2020,210000,2018-2022,Grant
Serious Events Limited,2,2020,452778,2018-2022,Grant
Serpentine Galleries,3,2020,1193725,2018-2022,Grant
"Seven Stories, The National Centre for Children's Books",2,2020,577602,2018-2022,Grant
Shademakers UK Carnival Club,1,2020,50290,2018-2022,Grant
Shakespeare Birthplace Trust,1,2020,220000,2018-2022,Grant
Shape London,2,2020,286551,2018-2022,Grant
Sheffield Doc/Fest,1,2020,140750,2018-2022,Grant
Sheffield Galleries & Museums Trust,2,2020,800000,2018-2022,Grant
Sheffield Theatres Trust Ltd,3,2020,1279865,2018-2022,Grant
Shobana Jeyasingh Dance Company,2,2020,258732,2018-2022,Grant
Shubbak: A Window on Contemporary Arab Culture,1,2020,85000,2018-2022,Grant
SICK! Productions,1,2020,249500,2018-2022,Grant
Sinfonietta Productions Limited,2,2020,499565,2018-2022,Grant
Siobhan Davies Dance,2,2020,582018,2018-2022,Grant
Site Gallery,2,2020,314107,2018-2022,Grant
Slung Low Limited,1,2020,185141,2018-2022,Grant
Small Green Shoots,1,2020,120000,2018-2022,Grant
Snape Maltings,3,2020,1403019,2018-2022,Grant
Society Of Chief Librarians,SSO,2020,500000,2018-2022,Grant
Soft Touch Arts Ltd,1,2020,88510,2018-2022,Grant
Soho Theatre Company,2,2020,603478,2018-2022,Grant
Somerset Art Works,1,2020,90000,2018-2022,Grant
Somerset Film and Video Ltd,1,2020,87453,2018-2022,Grant
Sonia Sabri Company,1,2020,125034,2018-2022,Grant
Sound UK Arts,1,2020,100580,2018-2022,Grant
SoundCity,1,2020,200000,2018-2022,Grant
South Asian Arts-uk,1,2020,181000,2018-2022,Grant
South East Dance Ltd,2,2020,570169,2018-2022,Grant
South East Museum Development Programme,SSO,2020,511612,2018-2022,Grant
South London Gallery,2,2020,811415,2018-2022,Grant
South West Museum Development,SSO,2020,530444,2018-2022,Grant
Southampton City Council,1,2020,100000,2018-2022,Grant
Southbank Centre,3,2020,18360000,2018-2022,Grant
Spare Tyre Theatre Company Ltd,1,2020,150870,2018-2022,Grant
Spike Island Artspace Ltd,2,2020,280000,2018-2022,Grant
Spitalfields Festival Ltd.,1,2020,70000,2018-2022,Grant
Spread the Word,1,2020,197397,2018-2022,Grant
Square Chapel Trust,1,2020,156051,2018-2022,Grant
ss Great Britain Trust,1,2020,210000,2018-2022,Grant
St Helens Council Library Service,1,2020,110000,2018-2022,Grant
St Pauls Carnival (Bristol) CIC,1,2020,150000,2018-2022,Grant
Stagetext,SSO,2020,268773,2018-2022,Grant
Stanley Picker Gallery,1,2020,80000,2018-2022,Grant
Stan's Cafe,1,2020,156865,2018-2022,Grant
Stockton Arts Centre Ltd,2,2020,306091,2018-2022,Grant
Stockton Borough Council Tees Valley Museum Group,2,2020,375000,2018-2022,Grant
Stockton International Riverside Festival,2,2020,301356,2018-2022,Grant
Stoke on Trent & North Staffordshire Theatre Trust,2,2020,932401,2018-2022,Grant
Stopgap Dance Company,2,2020,276654,2018-2022,Grant
Stratford Circus,2,2020,301738,2018-2022,Grant
Streetwise Opera,1,2020,100580,2018-2022,Grant
Strike A Light,1,2020,85000,2018-2022,Grant
Stroud Valleys Artspace,1,2020,68947,2018-2022,Grant
Studio 3 Arts,1,2020,117993,2018-2022,Grant
Studio Voltaire,1,2020,67079,2018-2022,Grant
Studio Wayne McGregor,2,2020,515212,2018-2022,Grant
Suffolk Libraries,1,2020,176000,2018-2022,Grant
Sunderland Culture,2,2020,500000,2018-2022,Grant
Sunshine International Arts,1,2020,75000,2018-2022,Grant
Swindon Dance,1,2020,206200,2018-2022,Grant
Take A Part CIC,1,2020,50000,2018-2022,Grant
Take Art Limited,1,2020,160425,2018-2022,Grant
Talawa Theatre Company Ltd,2,2020,440305,2018-2022,Grant
Talking Birds Theatre Company Limited,1,2020,101748,2018-2022,Grant
Tamasha Theatre Company,2,2020,314465,2018-2022,Grant
Tangle Ltd,1,2020,101000,2018-2022,Grant
Tangled Feet,1,2020,192945,2018-2022,Grant
Tara Arts,1,2020,207194,2018-2022,Grant
Tavaziva Dance,1,2020,188505,2018-2022,Grant
Teesside University,2,2020,510757,2018-2022,Grant
Tete a Tete,1,2020,100580,2018-2022,Grant
Thackray Medical Museum,1,2020,221885,2018-2022,Grant
Thames Festival Trust,1,2020,150000,2018-2022,Grant
the Albany,1,2020,176015,2018-2022,Grant
the Albany,SSO,2020,130000,2018-2022,Grant
The Alternative Theatre Company Ltd.,2,2020,595281,2018-2022,Grant
The Anvil Trust Ltd,1,2020,138949,2018-2022,Grant
The Artangel Trust,2,2020,852333,2018-2022,Grant
The Arts Depot Trust Ltd,2,2020,301738,2018-2022,Grant
The Ashton Group Theatre,1,2020,80494,2018-2022,Grant
The Audience Agency,SSO,2020,750000,2018-2022,Grant
The Bike Shed Theatre,1,2020,75000,2018-2022,Grant
The Bluecoat,2,2020,486887,2018-2022,Grant
The Bowes Museum,2,2020,367807,2018-2022,Grant
The Bronte Society,1,2020,232500,2018-2022,Grant
The Children's Bookshow,1,2020,67079,2018-2022,Grant
The Courtyard Trust,1,2020,212861,2018-2022,Grant
The Creative Art House,1,2020,247087,2018-2022,Grant
The Customs House,1,2020,100678,2018-2022,Grant
The DanceXchange Limited,2,2020,760126,2018-2022,Grant
The Devon Guild of Craftsmen,1,2020,155557,2018-2022,Grant
The Dukes Playhouse Ltd,2,2020,256190,2018-2022,Grant
The Forge,1,2020,57496,2018-2022,Grant
The Gate Theatre Company Ltd,2,2020,306330,2018-2022,Grant
The Geffrye Museum,1,2020,240000,2018-2022,Grant
The Hall For Cornwall Trust,2,2020,376282,2018-2022,Grant
The Hepworth Wakefield Trust,2,2020,906101,2018-2022,Grant
The Lawnmowers Independent Theatre Company,1,2020,60998,2018-2022,Grant
The Literary Consultancy,1,2020,73985,2018-2022,Grant
The Lowry Centre Trust,2,2020,860000,2018-2022,Grant
The Lyric Theatre Hammersmith Limited,3,2020,1100000,2018-2022,Grant
The Maltings Berwick Trust Limited,1,2020,176387,2018-2022,Grant
The Met,1,2020,100580,2018-2022,Grant
The Midi Music Company,1,2020,117234,2018-2022,Grant
The Mighty Creatives,SSO,2020,862477,2018-2022,Grant
The Ministry of Stories,1,2020,89113,2018-2022,Grant
The National Holocaust Centre and Museum,2,2020,300000,2018-2022,Grant
The National Youth Brass Band of Great Britain,1,2020,61054,2018-2022,Grant
The New Carnival Company CIC,1,2020,76661,2018-2022,Grant
The Octagon Theatre Trust,2,2020,614060,2018-2022,Grant
The Organisation for New Music and Sound,2,2020,704659,2018-2022,Grant
The Photographers' Gallery,2,2020,902265,2018-2022,Grant
The Poetry Archive,1,2020,106614,2018-2022,Grant
The Poetry School,1,2020,140409,2018-2022,Grant
The Poetry Society,2,2020,354559,2018-2022,Grant
The Point,1,2020,125000,2018-2022,Grant
The Pound Arts Trust Ltd,1,2020,75435,2018-2022,Grant
The Reader,1,2020,175000,2018-2022,Grant
The Reading Agency,2,2020,475394,2018-2022,Grant
The Robert Pacitti Company Ltd,2,2020,266708,2018-2022,Grant
The Roundhouse Trust,2,2020,974713,2018-2022,Grant
The Seachange Trust,2,2020,390000,2018-2022,Grant
The Showroom,1,2020,127894,2018-2022,Grant
The Southampton Nuffield Theatre Trust,2,2020,974349,2018-2022,Grant
The Spark Arts for Children,1,2020,172866,2018-2022,Grant
The Spring Arts & Heritage Centre,1,2020,120000,2018-2022,Grant
The Story Museum,1,2020,175000,2018-2022,Grant
The Tank Museum,1,2020,120000,2018-2022,Grant
The Theatre Orchard,1,2020,90000,2018-2022,Grant
The Wigmore Hall Trust,2,2020,337987,2018-2022,Grant
The Writing Squad,1,2020,97743,2018-2022,Grant
The Yard Theatre Ltd.,1,2020,150000,2018-2022,Grant
The York Early Music Foundation,2,2020,270467,2018-2022,Grant
Theatre Alibi,1,2020,241597,2018-2022,Grant
Theatre Bristol Ltd,1,2020,106985,2018-2022,Grant
Theatre Centre,1,2020,240000,2018-2022,Grant
Theatre de Complicite Education Ltd,2,2020,363622,2018-2022,Grant
Theatre Hullabaloo,2,2020,250318,2018-2022,Grant
Theatre in the Mill,1,2020,120171,2018-2022,Grant
Theatre Peckham,1,2020,142924,2018-2022,Grant
Theatre Royal (Plymouth) Ltd,3,2020,1185500,2018-2022,Grant
Theatre-Rites,1,2020,240389,2018-2022,Grant
Third Angel,1,2020,120000,2018-2022,Grant
Threshold Studios,1,2020,80464,2018-2022,Grant
Tiata Fahodzi Ltd,1,2020,210000,2018-2022,Grant
TIN Arts,1,2020,81453,2018-2022,Grant
Tobacco Factory Theatres,1,2020,60348,2018-2022,Grant
Together! 2012 CIC,1,2020,60000,2018-2022,Grant
Told by an Idiot,1,2020,168214,2018-2022,Grant
Tom Dale Company,1,2020,157600,2018-2022,Grant
Tomorrow's Warriors Ltd,1,2020,208744,2018-2022,Grant
Towner Art Gallery,2,2020,359350,2018-2022,Grant
Travaux Sauvages Ltd t/a Wildworks,1,2020,206189,2018-2022,Grant
Travelling Light Theatre Company,1,2020,202000,2018-2022,Grant
Triangle Arts Trust,2,2020,284866,2018-2022,Grant
Tricycle Theatre,2,2020,829519,2018-2022,Grant
Tullie House Museum and Art Gallery,3,2020,1165861,2018-2022,Grant
Turner Contemporary,2,2020,669473,2018-2022,Grant
"Turner Sims, Southampton",1,2020,43122,2018-2022,Grant
tutti frutti productions,1,2020,178703,2018-2022,Grant
Tyne & Wear Archives & Museums,SSO,2020,156936,2018-2022,Grant
Tyne & Wear Archives & Museums,SSO,2020,500000,2018-2022,Grant
Tyne & Wear Archives & Museums,3,2020,3136929,2018-2022,Grant
Tyneside Cinema,1,2020,124275,2018-2022,Grant
UK Young Artists,1,2020,150000,2018-2022,Grant
Unfolding Theatre,1,2020,105000,2018-2022,Grant
Unicorn Theatre (Caryl Jenner Productions),3,2020,1303884,2018-2022,Grant
Unity Theatre,2,2020,272000,2018-2022,Grant
University of Cambridge Museums,3,2020,1212754,2018-2022,Grant
University of Derby Theatre limited,2,2020,795000,2018-2022,Grant
"University of Leicester, Attenborough Arts Centre",1,2020,207000,2018-2022,Grant
University of Oxford,3,2020,1316938,2018-2022,Grant
University of the Arts London – Afterall,1,2020,70641,2018-2022,Grant
University of the Arts London (trading as Artquest),SSO,2020,125054,2018-2022,Grant
University of Warwick,2,2020,492114,2018-2022,Grant
Unlimited Theatre,1,2020,166119,2018-2022,Grant
UP Projects,1,2020,100580,2018-2022,Grant
Upswing Aerial Limited,1,2020,115667,2018-2022,Grant
Urban Development Ltd,1,2020,150870,2018-2022,Grant
Vamos Theatre Company,1,2020,200000,2018-2022,Grant
Vane Contemporary Art Limited,1,2020,60406,2018-2022,Grant
Venture Arts,1,2020,105000,2018-2022,Grant
Vincent Dance Theatre,1,2020,249999,2018-2022,Grant
Vital Xposure,1,2020,100580,2018-2022,Grant
Viva Chamber Orchestra Ltd,1,2020,192107,2018-2022,Grant
Vivid Projects,1,2020,74500,2018-2022,Grant
VocalEyes,SSO,2020,223811,2018-2022,Grant
Voluntary Arts Network,SSO,2020,165827,2018-2022,Grant
Wakefield Council – Museums,1,2020,205000,2018-2022,Grant
