Applicant Name,Funding Band,Alternative Name,Area,ACE Region,ONS Region,Discipline,Portfolio funded in 2015-18?,Portfolio funding 15/16 - £,Portfolio funding 16/17 - £,Portfolio funding 17/18 - £,TOTAL Portfolio funding 15/18 - £,Portfolio grant 18/19 - £,Portfolio grant 19/20 - £,Portfolio grant 20/21 - £,Portfolio grant 21/22 - £,TOTAL Portfolio grant 18/22 - £,Funding Source (GIA or LOT),% Cash change between 17/18 and 18/19,Notes,Local Authority,Web address,Funding Source Description,Funding Band Description,Bridge Organisation,Technical Uplift,Technical Reduction,Museum Development
Manchester Jazz Festival,1,,North,North West,North West,Music,True,90521,90521,90521,271565,150522,150522,150522,150522,602088,GIA,0.6628262493001874,,Manchester,http://www.manchesterjazz.com,Grant in Aid,Band 1,False,False,False,False
Manchester Jewish Museum,1,,North,North West,North West,Museums,False,0,0,0,0,110000,110000,110000,110000,440000,GIA,,,Manchester,http://www.manchesterjewishmuseum.com,Grant in Aid,Band 1,False,False,False,False
Manchester Literature Festival,1,,North,North West,North West,Literature,True,76661,76661,76661,229983,76661,76661,76661,76661,306644,GIA,0,,Manchester,http://www.manchesterliteraturefestival.co.uk,Grant in Aid,Band 1,False,False,False,False
Manchester Young People's Theatre trading as Contact,2,,North,North West,North West,Theatre,True,916435,916435,916435,2749305,916435,916435,916435,916435,3665740,GIA,0,,Manchester,http://contactmcr.com,Grant in Aid,Band 2,False,False,False,False
Mandinga Arts,1,,London,London,London,Combined arts,True,55319,55319,55319,165957,55319,55319,55319,55319,221276,LOT,0,,Lambeth,http://www.mandingaarts.co.uk,National Lottery,Band 1,False,False,False,False
Matt's Gallery Ltd,1,,London,London,London,Visual arts,True,153385,153385,153385,460155,153385,153385,153385,153385,613540,GIA,0,,Southwark,https://www.mattsgallery.org/,Grant in Aid,Band 1,False,False,False,False
MAYK Theatre CIC,1,,South West,South West,South West,Theatre,True,90000,90000,90000,270000,90000,90000,90000,90000,360000,GIA,0,,"Bristol, City of",http://www.mayk.org.uk,Grant in Aid,Band 1,False,False,False,False
Meadow Arts,1,,Midlands,West Midlands,West Midlands,Visual arts,True,160927,160927,160927,482782,160928,160928,160928,160928,643712,GIA,2.3766569112221718e-06,,Shropshire,http://www.meadowarts.org,Grant in Aid,Band 1,False,False,False,False
Mercury Musical Developments,SSO,,National,London,London,Theatre,True,124467,124467,124467,373401,124467,124467,124467,124467,497868,GIA,0,,Camden,http://www.mercurymusicals.com,Grant in Aid,Sector Support Organisation,False,False,False,False
Metal Culture Ltd,2,,South East,East,East of England,Combined arts,True,565378,565378,565378,1696134,565378,565378,565378,565378,2261512,GIA,0,,Southend-on-Sea,http://www.metalculture.com,Grant in Aid,Band 2,False,False,False,False
Metro-Boulot-Dodo Limited,1,,Midlands,East Midlands,East Midlands,Combined arts,False,0,0,0,0,140000,140000,140000,140000,560000,LOT,,,Leicester,http://www.metro-boulot-dodo.com,National Lottery,Band 1,False,False,False,False
MeWe Foundation,SSO,,National,London,London,Not discipline specific,False,0,0,0,0,195000,195000,195000,195000,780000,GIA,,,Westminster,http://www.mewe360.com,Grant in Aid,Sector Support Organisation,False,False,False,False
Middle Child,1,Middle Child Theatre Limited,North,Yorkshire,Yorkshire and The Humber,Theatre,False,0,0,0,0,150000,150000,150000,150000,600000,LOT,,,"Kingston upon Hull, City of",http://www.middlechildtheatre.co.uk,National Lottery,Band 1,False,False,False,False
Middlesbrough Town Hall,1,Middlesbrough Borough Council,North,North East,North East,Music,False,0,0,0,0,249000,249000,249000,249000,996000,GIA,,,Middlesbrough,http://www.middlesbroughtownhallonline.co.uk,Grant in Aid,Band 1,False,False,False,False
Midlands Arts Centre,2,,Midlands,West Midlands,West Midlands,Combined arts,True,739146,739146,739146,2217438,739146,739146,739146,739146,2956584,GIA,-3.3947937260759883e-07,,Birmingham,http://www.macbirmingham.co.uk,Grant in Aid,Band 2,False,False,False,False
MIF,3,Manchester International Festival,North,North West,North West,Combined arts,True,729134,729134,729134,2187402,8914000,9844402,9664000,9744134,38166536,GIA,11.225461986411277,,Manchester,http://www.mif.co.uk,Grant in Aid,Band 3,False,False,False,False
Mikron Theatre Company,1,,North,Yorkshire,Yorkshire and The Humber,Theatre,False,0,0,0,0,47800,47800,47800,47800,191200,LOT,,,Kirklees,http://www.mikron.org.uk,National Lottery,Band 1,False,False,False,False
Milap Festival Trust,2,,North,North West,North West,Combined arts,True,419994,419994,419994,1259982,362908,362908,362908,362908,1451632,GIA,-0.13592098934746688,"Technical Reduction - Organisation is a National Youth Music Organisation (NYMOs). For 2015-2018, NYMOs were jointly funded by Department of Education and Arts Council England. For 2018-2022, NYMOs will receive their Arts Council England allocation as National Portfolio funding. NYMOs will receive their Department for Education funding via a restricted separate grant.",Liverpool,http://www.milapfest.com,Grant in Aid,Band 2,False,False,True,False
Milton Keynes Arts Centre LTD,1,,South East,South East,South East,Visual arts,False,0,0,0,0,98000,98000,98000,98000,392000,GIA,,,Milton Keynes,http://www.miltonkeynesartscentre.org,Grant in Aid,Band 1,False,False,False,False
Mimbre,1,,London,London,London,Theatre,True,125773,125773,125773,377319,125773,125773,125773,125773,503092,LOT,0,,Hackney,http://www.mimbre.co.uk,National Lottery,Band 1,False,False,False,False
Mind the Gap,1,,North,Yorkshire,Yorkshire and The Humber,Theatre,True,206389,206389,206389,619169,246390,246390,246390,246390,985560,LOT,0.19380930789133632,,Bradford,http://www.mind-the-gap.org.uk,National Lottery,Band 1,False,False,False,False
Miracle Theatre Trust Ltd,1,,South West,South West,South West,Theatre,True,95000,95000,95000,285000,95000,95000,95000,95000,380000,LOT,0,,Cornwall,http://www.miracletheatre.co.uk,National Lottery,Band 1,False,False,False,False
MK Gallery,2,,South East,South East,South East,Visual arts,True,383307,383307,383307,1149921,383307,383307,383307,383307,1533228,GIA,0,,Milton Keynes,http://www.mkgallery.org,Grant in Aid,Band 2,False,False,False,False
Modern Art Oxford,2,,South East,South East,South East,Visual arts,True,892347,892347,892347,2677041,892347,892347,892347,892347,3569388,GIA,0,,Oxford,http://www.modernartoxford.org.uk,Grant in Aid,Band 2,False,False,False,False
Modern Masterpieces,1,,London,London,London,Dance,True,200153,200153,200153,600459,200153,200153,200153,200153,800612,LOT,0,,City of London,http://www.michaelclarkcompany.com,National Lottery,Band 1,False,False,False,False
Modern Poetry in Translation,1,,South East,South East,South East,Literature,True,40000,40000,40000,120000,50000,50000,50000,50000,200000,GIA,0.25,,Oxford,http://www.mptmagazine.com,Grant in Aid,Band 1,False,False,False,False
More Music,1,More Music in Morecambe,North,North West,North West,Music,True,105608,105608,105608,316826,105609,105609,105609,105609,422436,GIA,2.3766569111532762e-06,,Lancaster,http://www.moremusic.org.uk,Grant in Aid,Band 1,False,False,False,False
Motionhouse,2,,Midlands,West Midlands,West Midlands,Dance,True,338806,338806,338806,1016418,468806,468806,468806,468806,1875224,GIA,0.3837004067224311,,Warwick,http://motionhouse.co.uk,Grant in Aid,Band 2,False,False,False,False
Multistory,1,,Midlands,West Midlands,West Midlands,Combined arts,True,140811,140811,140811,422434,140812,140812,140812,140812,563248,GIA,2.3766569112221718e-06,,Sandwell,http://www.multistory.org.uk,Grant in Aid,Band 1,False,False,False,False
Museum of East Anglian Life,1,,South East,East,East of England,Museums,False,0,0,0,0,147504,147504,147504,147504,590016,GIA,,,Mid Suffolk,http://www.eastanglianlife.org.uk,Grant in Aid,Band 1,False,False,False,False
Museum of English Rural Life and Reading Museum Partnership,1,University of Reading and Reading Borough Council,South East,South East,South East,Museums,False,0,0,0,0,249999,249999,249999,249999,999996,GIA,,,Reading,http://www.reading.ac.uk/TheMERL,Grant in Aid,Band 1,False,False,False,False
Museum of London,SSO,,London,London,London,Museums,True,244820,244820,244820,734460,244820,244820,244820,244820,979280,GIA,0,Museum Development,City of London,http://www.museumoflondon.org.uk,Grant in Aid,Sector Support Organisation,False,False,False,True
Museum of London,3,,London,London,London,Museums,True,1100000,1100000,1100000,3300000,1100000,1100000,1100000,1100000,4400000,GIA,0,,City of London,http://www.museumoflondon.org.uk,Grant in Aid,Band 3,False,False,False,False
Music for Youth,1,,London,London,London,Music,True,171840,171840,171840,515520,171840,171840,171840,171840,687360,GIA,0,,Westminster,http://www.mfy.org.uk/,Grant in Aid,Band 1,False,False,False,False
Music in the Round,1,,North,Yorkshire,Yorkshire and The Humber,Music,True,142962,142962,142962,428888,142963,142963,142963,142963,571852,GIA,1.68117762061593e-07,,Sheffield,http://www.musicintheround.co.uk,Grant in Aid,Band 1,False,False,False,False
Musiko Musika,1,,London,London,London,Music,True,72914,72914,72914,218742,107914,107914,107914,107914,431656,GIA,0.4800175549277231,,Hackney,http://www.musikomusika.org,Grant in Aid,Band 1,False,False,False,False
Mytime Active,1,,London,London,London,Music,False,0,0,0,0,81957,81957,81957,81957,327828,GIA,,,Bromley,http://www.artstrain.org,Grant in Aid,Band 1,False,False,False,False
National Association for Gallery Education (engage),SSO,,National,London,London,Visual arts,True,229806,229806,229806,689418,229806,229806,229806,229806,919224,GIA,0,,Tower Hamlets,http://www.engage.org,Grant in Aid,Sector Support Organisation,False,False,False,False
National Centre for Circus Arts,2,,London,London,London,Theatre,True,341867,341867,341867,1025601,341867,341867,341867,341867,1367468,GIA,0,,Hackney,http://www.nationalcircus.org.uk,Grant in Aid,Band 2,False,False,False,False
National Criminal Justice Arts Alliance,SSO,Clinks,National,London,London,Combined arts,False,0,0,0,0,65000,65000,65000,65000,260000,GIA,,,Camden,http://www.artsincriminaljustice.org.uk,Grant in Aid,Sector Support Organisation,False,False,False,False
National Horseracing Museum,1,,South East,East,East of England,Museums,False,0,0,0,0,220000,220000,220000,220000,880000,GIA,,,Forest Heath,http://www.palacehousenewmarket.co.uk,Grant in Aid,Band 1,False,False,False,False
National Justice Museum,1,,Midlands,East Midlands,East Midlands,Museums,False,0,0,0,0,240000,240000,240000,240000,960000,GIA,,,Nottingham,http://www.galleriesofjustice.org.uk,Grant in Aid,Band 1,False,False,False,False
National Opera Studio,1,,London,London,London,Music,True,168221,168221,168221,504663,168221,168221,168221,168221,672884,GIA,0,,Wandsworth,http://www.nationaloperastudio.org.uk,Grant in Aid,Band 1,False,False,False,False
National Rural Touring Forum,1,,North,Yorkshire,Yorkshire and The Humber,Combined arts,True,86583,86583,86583,259749,86583,86583,86583,86583,346332,GIA,0,,York,http://www.ruraltouring.org,Grant in Aid,Band 1,False,False,False,False
National Student Drama Festival,1,,Midlands,East Midlands,East Midlands,Theatre,True,56542,56542,56542,169627,56543,56543,56543,56543,226172,GIA,7.495694937802489e-06,,Leicester,http://www.nsdf.org.uk,Grant in Aid,Band 1,False,False,False,False
National Theatre,3,Royal National Theatre,London,London,London,Theatre,True,17217000,17217000,17217000,51651000,16700000,16700000,16700000,16700000,66800000,GIA,-0.030028460242783297,,Lambeth,https://www.nationaltheatre.org.uk/,Grant in Aid,Band 3,False,False,False,False
National Youth Choirs of Great Britain,1,,North,North East,North East,Music,True,107000,107000,107000,321000,55297,55297,55297,55297,221188,GIA,-0.4832056074766355,"Technical Reduction - Organisation is a National Youth Music Organisation (NYMOs). For 2015-2018, NYMOs were jointly funded by Department of Education and Arts Council England. For 2018-2022, NYMOs will receive their Arts Council England allocation as National Portfolio funding. NYMOs will receive their Department for Education funding via a restricted separate grant.",County Durham,http://www.nycgb.org.uk,Grant in Aid,Band 1,False,False,True,False
National Youth Jazz Collective,1,,London,London,London,Music,True,124690,124690,124690,374070,64439,64439,64439,64439,257756,GIA,-0.48320635175234583,"Technical Reduction - Organisation is a National Youth Music Organisation (NYMOs). For 2015-2018, NYMOs were jointly funded by Department of Education and Arts Council England. For 2018-2022, NYMOs will receive their Arts Council England allocation as National Portfolio funding. NYMOs will receive their Department for Education funding via a restricted separate grant.",Islington,http://www.nationalyouthjazz.co.uk,Grant in Aid,Band 1,False,False,True,False
National Youth Jazz Orchestra,1,,London,London,London,Music,True,125000,125000,125000,375000,125000,125000,125000,125000,500000,LOT,0,,Westminster,http://www.nyjo.org.uk,National Lottery,Band 1,False,False,False,False
National Youth Orchestra of Great Britain,1,,London,London,London,Music,True,250000,250000,250000,750000,129198,129198,129198,129198,516792,GIA,-0.483208,"Technical Reduction - Organisation is a National Youth Music Organisation (NYMOs). For 2015-2018, NYMOs were jointly funded by Department of Education and Arts Council England. For 2018-2022, NYMOs will receive their Arts Council England allocation as National Portfolio funding. NYMOs will receive their Department for Education funding via a restricted separate grant.",Westminster,http://www.nyo.org.uk,Grant in Aid,Band 1,False,False,True,False
National Youth Theatre of Great Britain,2,,London,London,London,Theatre,True,305769,305769,305769,917307,305769,305769,305769,305769,1223076,GIA,0,,Camden,http://www.nyt.org.uk,Grant in Aid,Band 2,False,False,False,False
New Art Exchange Ltd,2,,Midlands,East Midlands,East Midlands,Visual arts,True,502897,502897,502897,1508693,852898,852898,852898,852898,3411592,GIA,0.6959666976329753,,Nottingham,http://www.nae.org.uk,Grant in Aid,Band 2,False,False,False,False
New Contemporaries (1988) Ltd,1,,London,London,London,Visual arts,True,117789,117789,117789,353367,117789,117789,117789,117789,471156,LOT,0,,Tower Hamlets,http://www.newcontemporaries.org.uk,National Lottery,Band 1,False,False,False,False
New International Encounter,1,,South East,East,East of England,Theatre,True,153323,153323,153323,459969,153323,153323,153323,153323,613292,GIA,0,,Cambridge,http://www.nie-theatre.com,Grant in Aid,Band 1,False,False,False,False
New Perspectives Theatre Company,2,,Midlands,East Midlands,East Midlands,Theatre,True,302744,302744,302744,908233,302745,302745,302745,302745,1210980,LOT,1.6333300937820849e-06,,Nottingham,http://www.newperspectives.co.uk,National Lottery,Band 2,False,False,False,False
New Wolsey Theatre Company Ltd,2,,South East,East,East of England,Theatre,True,853028,853028,853028,2559084,936104,936104,936104,936104,3744416,GIA,0.09738953469288229,,Ipswich,http://www.wolseytheatre.co.uk,Grant in Aid,Band 2,False,False,False,False
New Writing North,2,,North,North East,North East,Literature,True,297123,297123,297123,891369,332123,332123,332123,332123,1328492,GIA,0.11779633350497942,Technical Uplift - transfer in of the David Cohen award prize funding to New Writing North. Award previously  delivered by another National Portfolio organisation.,Newcastle upon Tyne,http://www.newwritingnorth.com,Grant in Aid,Band 2,False,True,False,False
New Writing South,1,,South East,South East,South East,Literature,True,93191,93191,93191,279573,124192,124192,124192,124192,496768,GIA,0.33266087926945737,,Brighton and Hove,http://www.newwritingsouth.com,Grant in Aid,Band 1,False,False,False,False
Newhampton Arts Centre,1,,Midlands,West Midlands,West Midlands,Combined arts,False,0,0,0,0,180000,180000,180000,180000,720000,GIA,,,Wolverhampton,http://www.newhamptonarts.co.uk,Grant in Aid,Band 1,False,False,False,False
Newlyn Art Gallery Ltd,2,,South West,South West,South West,Visual arts,True,361761,361761,361761,1085283,361761,361761,361761,361761,1447044,GIA,0,,Cornwall,http://www.newlynartgallery.co.uk,Grant in Aid,Band 2,False,False,False,False
Nine Arches Press,1,,Midlands,West Midlands,West Midlands,Literature,False,0,0,0,0,62500,62500,62500,62500,250000,GIA,,,Rugby,http://www.ninearchespress.com,Grant in Aid,Band 1,False,False,False,False
NMC Recordings Ltd.,1,,London,London,London,Music,True,40000,40000,40000,120000,40000,40000,40000,40000,160000,GIA,0,,Westminster,http://www.nmcrec.co.uk,Grant in Aid,Band 1,False,False,False,False
NN Contemporary Art,1,Northampton Arts Collective Ltd,Midlands,East Midlands,East Midlands,Visual arts,False,0,0,0,0,60000,60000,60000,60000,240000,GIA,,,Northampton,http://www.nncontemporaryart.org,Grant in Aid,Band 1,False,False,False,False
no.w.here arts limited,1,,London,London,London,Visual arts,True,55419,55419,55419,166257,55419,55419,55419,55419,221676,GIA,0,,Tower Hamlets,http://www.no-w-here.org.uk,Grant in Aid,Band 1,False,False,False,False
NoFit State Community Circus Ltd,1,,Midlands,West Midlands,WALES,Theatre,True,201159,201159,201159,603478,201160,201160,201160,201160,804640,LOT,2.376656911077491e-06,,Cardiff,http://www.nofitstate.org,National Lottery,Band 1,False,False,False,False
Norfolk and Norwich Festival Trust,SSO,,South East,East,East of England,Not discipline specific,True,500000,500000,500000,1500000,500000,500000,500000,500000,2000000,LOT,0,Bridge Organisation,Norwich,http://www.nnfestival.org.uk/,National Lottery,Sector Support Organisation,True,False,False,False
Norfolk and Norwich Festival Trust,2,,South East,East,East of England,Combined arts,True,814527,814527,814527,2443581,814527,814527,814527,814527,3258108,GIA,0,,Norwich,http://www.nnfestival.org.uk/,Grant in Aid,Band 2,False,False,False,False
Norfolk Museums Service,SSO,,South East,East,East of England,Museums,True,436282,436282,436282,1308846,436282,436282,436282,436282,1745128,GIA,0,Museum Development,Norwich,http://www.museums.norfolk.gov.uk,Grant in Aid,Sector Support Organisation,False,False,False,True
Norfolk Museums Service,3,,South East,East,East of England,Museums,True,1203170,1203170,1203170,3609510,1203170,1203170,1203170,1203170,4812680,GIA,0,,Norwich,http://www.museums.norfolk.gov.uk,Grant in Aid,Band 3,False,False,False,False
North East Theatre Trust Ltd,2,,North,North East,North East,Theatre,True,626723,626723,626723,1880169,626723,626723,626723,626723,2506892,GIA,-4.1716430422961534e-07,,Newcastle upon Tyne,http://www.live.org.uk,Grant in Aid,Band 2,False,False,False,False
North Kesteven District Council,1,,Midlands,East Midlands,East Midlands,Combined arts,True,201159,201159,201159,603478,201160,201160,201160,201160,804640,GIA,2.376656911077491e-06,,North Kesteven,http://www.n-kesteven.gov.uk,Grant in Aid,Band 1,False,False,False,False
North Lincolnshire Council 20-21 Visual Arts Centre,1,North Lincolnshire Council,North,Yorkshire,Yorkshire and The Humber,Visual arts,True,74744,74744,74744,224234,74745,74745,74745,74745,298980,GIA,1.7648194901393526e-06,,North Lincolnshire,http://www.2021visualartscentre.co.uk,Grant in Aid,Band 1,False,False,False,False
North Music Trust,3,,North,North East,North East,Music,True,3512122,3512122,3512122,10536366,3512122,3512122,3512122,3512122,14048488,GIA,0,,Gateshead,http://www.sagegateshead.com,Grant in Aid,Band 3,False,False,False,False
Northampton Theatres Trust,2,,Midlands,East Midlands,East Midlands,Theatre,True,766416,766416,766416,2299249,846666,846666,846666,846666,3386664,GIA,0.10470724204303809,,Northampton,http://www.royalandderngate.co.uk,Grant in Aid,Band 2,False,False,False,False
Northern Ballet Limited,3,,North,Yorkshire,Yorkshire and The Humber,Dance,True,3112000,3112000,3112000,9336000,3112000,3112000,3112000,3112000,12448000,LOT,0,,Leeds,http://northerballet.com,National Lottery,Band 3,False,False,False,False
Northern Broadsides Theatre Company,2,,North,Yorkshire,Yorkshire and The Humber,Theatre,True,255287,255287,255287,765861,255287,255287,255287,255287,1021148,LOT,-1.033687047177479e-06,,Calderdale,http://northern-broadsides.co.uk,National Lottery,Band 2,False,False,False,False
Northern Print,1,Northern Print Studio Ltd,North,North East,North East,Visual arts,True,106647,106647,106647,319942,106648,106648,106648,106648,426592,GIA,4.5850374952486485e-06,,Newcastle upon Tyne,http://northernprint.org.uk,Grant in Aid,Band 1,False,False,False,False
Northern School of Contemporary Dance,1,,North,Yorkshire,Yorkshire and The Humber,Dance,False,0,0,0,0,150000,150000,150000,150000,600000,GIA,,,Leeds,http://www.nscd.ac.uk,Grant in Aid,Band 1,False,False,False,False
Northern Stage (Theatrical Productions) Ltd,3,,North,North East,North East,Theatre,True,1562496,1562496,1562496,4687489,1562496,1562496,1562496,1562496,6249984,LOT,-2.744467090799014e-07,,Newcastle upon Tyne,http://www.northernstage.co.uk,National Lottery,Band 3,False,False,False,False
Norwich Arts Centre,1,,South East,East,East of England,Combined arts,True,182071,182071,182071,546213,182071,182071,182071,182071,728284,GIA,0,,Norwich,http://norwichartscentre.co.uk/,Grant in Aid,Band 1,False,False,False,False
Nottingham City Museums and Galleries,2,Nottingham City Council,Midlands,East Midlands,East Midlands,Museums,False,0,0,0,0,466197,466197,466197,466197,1864788,GIA,,,Nottingham,http://www.nottinghamcastle.org.uk,Grant in Aid,Band 2,False,False,False,False
Nottingham Contemporary,3,,Midlands,East Midlands,East Midlands,Visual arts,True,1005795,1005795,1005795,3017387,1005796,1005796,1005796,1005796,4023184,GIA,3.052020616718712e-07,,Nottingham,http://www.nottinghamcontemporary.org,Grant in Aid,Band 3,False,False,False,False
Nottingham Media Centre Ltd,1,,Midlands,East Midlands,East Midlands,Visual arts,True,100579,100579,100579,301739,100580,100580,100580,100580,402320,GIA,2.376656911077491e-06,,Nottingham,http://www.broadway.org.uk,Grant in Aid,Band 1,False,False,False,False
Nottingham Playhouse,3,,Midlands,East Midlands,East Midlands,Theatre,True,1354807,1354807,1354807,4064421,1354807,1354807,1354807,1354807,5419228,GIA,-2.0068857178858022e-07,,Nottingham,http://www.nottinghamplayhouse.co.uk,Grant in Aid,Band 3,False,False,False,False
November Club,1,,North,North East,North East,Theatre,True,100678,100678,100678,302034,100678,100678,100678,100678,402712,GIA,0,,Northumberland,http://www.novemberclub.org.uk,Grant in Aid,Band 1,False,False,False,False
NTS Live,1,,London,London,London,Music,False,0,0,0,0,69226,69226,69226,69226,276904,GIA,,,Hackney,http://www.ntslive.co.uk,Grant in Aid,Band 1,False,False,False,False
Nutkhut,1,Nutkhut Ltd,London,London,London,Combined arts,True,100924,100924,100924,302772,100924,100924,100924,100924,403696,LOT,0,,Greenwich,http://www.nutkhut.co.uk,National Lottery,Band 1,False,False,False,False
Ockham's Razor,1,,London,London,London,Theatre,True,181044,181044,181044,543132,181044,181044,181044,181044,724176,LOT,0,,Hammersmith and Fulham,http://www.ockhamsrazor.co.uk,National Lottery,Band 1,False,False,False,False
Octopus Collective Ltd.,1,,North,North West,North West,Music,True,40231,40231,40231,120695,70232,70232,70232,70232,280928,GIA,0.7456792333805973,,Barrow-in-Furness,http://www.octopuscollective.org,Grant in Aid,Band 1,False,False,False,False
Oily Cart,2,,London,London,London,Theatre,True,286576,286576,286576,859728,286576,286576,286576,286576,1146304,LOT,0,,Wandsworth,http://www.oilycart.org.uk,National Lottery,Band 2,False,False,False,False
Oldham Coliseum Theatre,2,,North,North West,North West,Theatre,True,604066,604066,604066,1812200,604067,604067,604067,604067,2416268,GIA,9.600291872912643e-08,,Oldham,http://www.coliseum.org.uk,Grant in Aid,Band 2,False,False,False,False
One Dance UK,SSO,,National,West Midlands,West Midlands,Dance,False,0,0,0,0,750000,750000,750000,750000,3000000,GIA,,,Birmingham,http://www.onedanceuk.org,Grant in Aid,Sector Support Organisation,False,False,False,False
Open Clasp Theatre Company,1,,North,North East,North East,Theatre,True,100000,100000,100000,300000,177043,177043,177043,177043,708172,LOT,0.77043,,Newcastle upon Tyne,http://www.openclasp.org.uk,National Lottery,Band 1,False,False,False,False
Open Eye gallery,1,,North,North West,North West,Visual arts,True,192301,192301,192301,576903,242301,242301,242301,242301,969204,GIA,0.26000904831488136,,Liverpool,http://www.openeye.org.uk,Grant in Aid,Band 1,False,False,False,False
Open School East,1,,South East,South East,South East,Visual arts,False,0,0,0,0,90000,90000,90000,90000,360000,GIA,,,Thanet,http://www.openschooleast.org,Grant in Aid,Band 1,False,False,False,False
Open Theatre Company,1,,Midlands,West Midlands,West Midlands,Theatre,False,0,0,0,0,150000,150000,150000,150000,600000,GIA,,,Coventry,http://www.opentheatre.co.uk,Grant in Aid,Band 1,False,False,False,False
OpenUp Music,1,,South West,South West,South West,Music,False,0,0,0,0,160000,160000,160000,160000,640000,GIA,,,"Bristol, City of",http://www.openupmusic.org,Grant in Aid,Band 1,False,False,False,False
Opera North Limited,3,,North,Yorkshire,Yorkshire and The Humber,Music,True,10386000,10386000,10386000,31158000,10386000,10386000,10386000,10386000,41544000,GIA,0,,Leeds,http://www.operanorth.co.uk,Grant in Aid,Band 3,False,False,False,False
Orchestra of the Age of Enlightenment,1,,London,London,London,Music,True,203904,203904,203904,611712,203904,203904,203904,203904,815616,GIA,0,,Islington,http://www.oae.co.uk,Grant in Aid,Band 1,False,False,False,False
Orchestras Live,2,,London,London,London,Music,True,479134,479134,479134,1437402,479134,479134,479134,479134,1916536,GIA,0,,Islington,http://www.orchestraslive.org.uk,Grant in Aid,Band 2,False,False,False,False
OTO Projects CIC,1,,London,London,London,Music,True,74933,74933,74933,224799,74933,74933,74933,74933,299732,GIA,0,,Hackney,http://www.cafeoto.co.uk,Grant in Aid,Band 1,False,False,False,False
Otolith Collective Ltd,1,,London,London,London,Visual arts,True,50290,50290,50290,150870,50290,50290,50290,50290,201160,GIA,0,,Hackney,http://www.otolithgroup.org,Grant in Aid,Band 1,False,False,False,False
Out of Joint,2,,London,London,London,Theatre,True,426352,426352,426352,1279056,426352,426352,426352,426352,1705408,LOT,0,,Islington,http://www.outofjoint.co.uk,National Lottery,Band 2,False,False,False,False
Outside In,1,Outside In Art,South East,South East,South East,Visual arts,False,0,0,0,0,100000,100000,100000,100000,400000,LOT,,,Chichester,http://www.outsidein.org.uk,National Lottery,Band 1,False,False,False,False
Oxford Contemporary Music,1,,South East,South East,South East,Music,True,185783,185783,185783,557349,185783,185783,185783,185783,743132,GIA,0,,Oxford,http://www.ocmevents.org,Grant in Aid,Band 1,False,False,False,False
Oxford Playhouse Trust,2,,South East,South East,South East,Theatre,True,379474,379474,379474,1138422,379474,379474,379474,379474,1517896,LOT,0,,Oxford,http://www.oxfordplayhouse.com,National Lottery,Band 2,False,False,False,False
Pagoda Arts,1,,North,North West,North West,Music,True,44864,44864,44864,134592,44864,44864,44864,44864,179456,GIA,-3.7818373559843213e-06,,Liverpool,http://www.pagodaarts.org.uk,Grant in Aid,Band 1,False,False,False,False
Paines Plough,2,,London,London,London,Theatre,True,315620,315620,315620,946860,315620,315620,315620,315620,1262480,LOT,0,,Westminster,http://www.painesplough.com,National Lottery,Band 2,False,False,False,False
Palace Theatre Watford Limited,2,,South East,East,East of England,Theatre,True,790570,790570,790570,2371712,790571,790571,790571,790571,3162284,GIA,3.539594787343898e-07,,Watford,http://www.watfordpalacetheatre.co.uk,Grant in Aid,Band 2,False,False,False,False
Pallant House Gallery,1,,South East,South East,South East,Visual arts,True,89119,89119,89119,267357,89119,89119,89119,89119,356476,GIA,0,,Chichester,http://pallant.org.uk,Grant in Aid,Band 1,False,False,False,False
Paraiso School of Samba,1,,London,London,London,Combined arts,True,60348,60348,60348,181044,60348,60348,60348,60348,241392,GIA,0,,Camden,http://www.paraisosamba.co.uk,Grant in Aid,Band 1,False,False,False,False
Paraorchestra and Friends,1,,South West,South West,South West,Music,False,0,0,0,0,249000,249000,249000,249000,996000,GIA,,,"Bristol, City of",http://www.paraorchestra.com,Grant in Aid,Band 1,False,False,False,False
Pavilion Dance South West Ltd,2,,South West,South West,South West,Dance,True,386216,386216,386216,1158648,386216,386216,386216,386216,1544864,GIA,0,,Bournemouth,http://www.pdsw.org.uk,Grant in Aid,Band 2,False,False,False,False
Peckham Platform Ltd,1,,London,London,London,Visual arts,True,50000,50000,50000,150000,75000,75000,75000,75000,300000,GIA,0.5,,Southwark,http://www.peckhamplatform.com,Grant in Aid,Band 1,False,False,False,False
Peepal Tree Press,1,,North,Yorkshire,Yorkshire and The Humber,Literature,True,112032,112032,112032,336096,150500,150500,150500,150500,602000,GIA,0.34336618109111683,,Leeds,http://www.peepaltreepress.com,Grant in Aid,Band 1,False,False,False,False
Peer UK,1,,London,London,London,Visual arts,True,52090,52090,52090,156270,85590,85590,85590,85590,342360,GIA,0.6431176809368401,,Hackney,http://www.peeruk.org,Grant in Aid,Band 1,False,False,False,False
Pegasus Theatre Trust,2,,South East,South East,South East,Theatre,True,299973,299973,299973,899919,299973,299973,299973,299973,1199892,GIA,-6.527042013587178e-07,,Oxford,http://www.pegasustheatre.org.uk,Grant in Aid,Band 2,False,False,False,False
Penned in the Margins,1,,London,London,London,Literature,True,45000,45000,45000,135000,45000,45000,45000,45000,180000,LOT,0,,Tower Hamlets,http://www.pennedinthemargins.co.uk,National Lottery,Band 1,False,False,False,False
