Applicant Name,Funding Band,Alternative Name,Area,ACE Region,ONS Region,Discipline,Portfolio funded in 2015-18?,Portfolio funding 15/16 - £,Portfolio funding 16/17 - £,Portfolio funding 17/18 - £,TOTAL Portfolio funding 15/18 - £,Portfolio grant 18/19 - £,Portfolio grant 19/20 - £,Portfolio grant 20/21 - £,Portfolio grant 21/22 - £,TOTAL Portfolio grant 18/22 - £,Funding Source (GIA or LOT),% Cash change between 17/18 and 18/19,Notes,Local Authority,Web address,Funding Source Description,Funding Band Description,Bridge Organisation,Technical Uplift,Technical Reduction,Museum Development
"Barbican Theatre, Plymouth",1,Rent-a-Role Drama Service t/a Barbican Theatre,South West,South West,South West,Combined arts,True,119817,119817,119817,359451,195120,195120,195120,195120,780480,GIA,0.6284834372417938,,Plymouth,http://www.barbicantheatre.co.uk,Grant in Aid,Band 1,False,False,False,False
Barnsley Civic Enterprise Ltd,1,,North,Yorkshire,Yorkshire and The Humber,Combined arts,True,160000,160000,160000,480000,160000,160000,160000,160000,640000,GIA,0,,Barnsley,http://www.barnsleycivic.co.uk,Grant in Aid,Band 1,False,False,False,False
Barnsley Museums,2,Barnsley Council,North,Yorkshire,Yorkshire and The Humber,Museums,False,0,0,0,0,466500,466500,466500,466500,1866000,GIA,,,Barnsley,http://www.barnsley-museums.com,Grant in Aid,Band 2,False,False,False,False
Battersea Arts Centre,2,,London,London,London,Theatre,True,693897,693897,693897,2081691,693897,693897,693897,693897,2775588,GIA,0,,Wandsworth,http://www.bac.org.uk,Grant in Aid,Band 2,False,False,False,False
BCB,1,THE CLAY FOUNDATION CIO t/a British Ceramics Biennial,Midlands,West Midlands,West Midlands,Visual arts,False,0,0,0,0,175000,175000,175000,175000,700000,GIA,,,Stoke-on-Trent,http://www.britishceramicsbiennial.com,Grant in Aid,Band 1,False,False,False,False
BE FESTIVAL CIC,1,,Midlands,West Midlands,West Midlands,Combined arts,True,145000,145000,145000,435000,145000,145000,145000,145000,580000,LOT,0,,Birmingham,http://www.befestival.org,National Lottery,Band 1,False,False,False,False
Beaford Arts,1,,South West,South West,South West,Combined arts,True,95893,95893,95893,287681,95894,95894,95894,95894,383576,LOT,1.7447652607093174e-06,,North Devon,http://www.beaford-arts.org.uk,National Lottery,Band 1,False,False,False,False
Beamish Museum,2,"Beamish Museum, The Living Museum of the North",North,North East,North East,Museums,True,709583,709583,709583,2128749,436776,436776,436776,436776,1747104,GIA,-0.38446101442678304,"Technical Reduction. Beamish Museum is the lead partner of a 2015-2018 consortium. The consortium does not exist for 2018-2022, therefore the technical reduction relates to the lost allocation of the previous partner.",County Durham,http://www.beamish.org.uk,Grant in Aid,Band 2,False,False,True,False
Beatfreeks,1,Beatfreeks Arts Ltd.,Midlands,West Midlands,West Midlands,Combined arts,False,0,0,0,0,124600,124600,124600,124600,498400,GIA,,,Birmingham,http://www.beatfreeks.com,Grant in Aid,Band 1,False,False,False,False
Beavers Arts Ltd.,1,,Midlands,West Midlands,West Midlands,Combined arts,False,0,0,0,0,80000,80000,80000,80000,320000,GIA,,,Stoke-on-Trent,http://www.b-arts.org.uk/,Grant in Aid,Band 1,False,False,False,False
